Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
FBS,Food Balance Sheets,8,Antigua and Barbuda,674,Protein supply quantity (g/capita/day),2767,"Molluscs, Other",2013,2013,g/capita/day,0.69,Fc,Calculated data
FBS,Food Balance Sheets,8,Antigua and Barbuda,684,Fat supply quantity (g/capita/day),2767,"Molluscs, Other",2012,2012,g/capita/day,0.07,Fc,Calculated data
FBS,Food Balance Sheets,8,Antigua and Barbuda,684,Fat supply quantity (g/capita/day),2767,"Molluscs, Other",2013,2013,g/capita/day,0.06,Fc,Calculated data
FBS,Food Balance Sheets,12,Bahamas,664,Food supply (kcal/capita/day),2762,Demersal Fish,2012,2012,kcal/capita/day,4,Fc,Calculated data
FBS,Food Balance Sheets,12,Bahamas,664,Food supply (kcal/capita/day),2762,Demersal Fish,2013,2013,kcal/capita/day,4,Fc,Calculated data
FBS,Food Balance Sheets,12,Bahamas,674,Protein supply quantity (g/capita/day),2762,Demersal Fish,2012,2012,g/capita/day,0.74,Fc,Calculated data
FBS,Food Balance Sheets,12,Bahamas,674,Protein supply quantity (g/capita/day),2762,Demersal Fish,2013,2013,g/capita/day,0.81,Fc,Calculated data
FBS,Food Balance Sheets,12,Bahamas,684,Fat supply quantity (g/capita/day),2762,Demersal Fish,2012,2012,g/capita/day,0.06,Fc,Calculated data
FBS,Food Balance Sheets,12,Bahamas,684,Fat supply quantity (g/capita/day),2762,Demersal Fish,2013,2013,g/capita/day,0.07,Fc,Calculated data
FBS,Food Balance Sheets,12,Bahamas,664,Food supply (kcal/capita/day),2763,Pelagic Fish,2012,2012,kcal/capita/day,33,Fc,Calculated data
FBS,Food Balance Sheets,12,Bahamas,664,Food supply (kcal/capita/day),2763,Pelagic Fish,2013,2013,kcal/capita/day,34,Fc,Calculated data
FBS,Food Balance Sheets,12,Bahamas,674,Protein supply quantity (g/capita/day),2763,Pelagic Fish,2012,2012,g/capita/day,3.77,Fc,Calculated data
FBS,Food Balance Sheets,12,Bahamas,674,Protein supply quantity (g/capita/day),2763,Pelagic Fish,2013,2013,g/capita/day,3.86,Fc,Calculated data
FBS,Food Balance Sheets,12,Bahamas,684,Fat supply quantity (g/capita/day),2763,Pelagic Fish,2012,2012,g/capita/day,1.8,Fc,Calculated data
FBS,Food Balance Sheets,12,Bahamas,684,Fat supply quantity (g/capita/day),2763,Pelagic Fish,2013,2013,g/capita/day,1.86,Fc,Calculated data
FBS,Food Balance Sheets,12,Bahamas,664,Food supply (kcal/capita/day),2764,"Marine Fish, Other",2012,2012,kcal/capita/day,3,Fc,Calculated data
FBS,Food Balance Sheets,12,Bahamas,664,Food supply (kcal/capita/day),2764,"Marine Fish, Other",2013,2013,kcal/capita/day,2,Fc,Calculated data
FBS,Food Balance Sheets,12,Bahamas,674,Protein supply quantity (g/capita/day),2764,"Marine Fish, Other",2012,2012,g/capita/day,0.47,Fc,Calculated data
