"","Country","Commodity","Flow","Unit","X","Year","Quantity"," F"
"65","Antigua and Barbuda","Fish nei, salted or in brine","Imports","Tonnes","","2014","147",NA
"66","Antigua and Barbuda","Fish nei, salted or in brine","Reexports","Tonnes","","2014","...",NA
"67","Antigua and Barbuda","Fish nei, smoked","Imports","Tonnes","","2014","27",NA
"68","Antigua and Barbuda","Fish, dried, salted or smoked","Imports","Tonnes","","2014","-",NA
"69","Antigua and Barbuda","Fish, fresh or chilled, nei","Exports","Tonnes","","2014","0",NA
"70","Antigua and Barbuda","Fish, fresh or chilled, nei","Imports","Tonnes","","2014","88",NA
"71","Antigua and Barbuda","Fish, fresh or chilled, nei","Reexports","Tonnes","","2014","0",NA
"72","Antigua and Barbuda","Fish, frozen, nei","Imports","Tonnes","","2014","103",NA
"73","Antigua and Barbuda","Fishmeal fit for human consumption, nei","Exports","Tonnes","","2014","-",NA
"74","Antigua and Barbuda","Fishmeal fit for human consumption, nei","Imports","Tonnes","","2014","-",NA
"75","Antigua and Barbuda","Fishmeals, nei","Exports","Tonnes","","2014","-",NA
"76","Antigua and Barbuda","Fishmeals, nei","Imports","Tonnes","","2014","1",NA
"77","Antigua and Barbuda","Flatfish fillets in blocks, frozen, nei","Exports","Tonnes","","2014","-",NA
"78","Antigua and Barbuda","Flatfish nei, frozen","Exports","Tonnes","","2014","-",NA
"79","Antigua and Barbuda","Flatfish nei, frozen","Imports","Tonnes","","2014","2",NA
"80","Antigua and Barbuda","Flatfish nei, frozen","Reexports","Tonnes","","2014","-",NA
"81","Antigua and Barbuda","Flatfish, fresh or chilled, nei","Exports","Tonnes","","2014","-",NA
"82","Antigua and Barbuda","Flatfish, fresh or chilled, nei","Imports","Tonnes","","2014","0",NA
"83","Antigua and Barbuda","Freshwater fish, nei, fresh or chilled","Imports","Tonnes","","2014","-",NA
"84","Antigua and Barbuda","Gadiformes nei, dried and salted","Imports","Tonnes","","2014","-",NA
"85","Antigua and Barbuda","Gadiformes nei, dried and salted","Reexports","Tonnes","","2014","-",NA
"86","Antigua and Barbuda","Gadiformes, dried, whether or not salted, but not smoked","Imports","Tonnes","","2014","-",NA
"87","Antigua and Barbuda","Gadiformes, salted or in brine, nei","Imports","Tonnes","","2014","-",NA
"88","Antigua and Barbuda","Gadiformes, smoked","Imports","Tonnes","","2014","-",NA
"89","Antigua and Barbuda","Haddock dried, whether or not salted, but not smoked","Imports","Tonnes","","2014","-",NA
"90","Antigua and Barbuda","Haddock, fresh or chilled","Imports","Tonnes","","2014","-",NA
"91","Antigua and Barbuda","Haddock, frozen","Imports","Tonnes","","2014","-",NA
"92","Antigua and Barbuda","Hake nei fillets, frozen","Exports","Tonnes","","2014","-",NA
"93","Antigua and Barbuda","Hakes nei, frozen","Imports","Tonnes","","2014","-",NA
"94","Antigua and Barbuda","Hakes, salted or in brine","Imports","Tonnes","","2014","-",NA
"95","Antigua and Barbuda","Halibuts nei, frozen","Imports","Tonnes","","2014","-",NA
"96","Antigua and Barbuda","Halibuts, fresh or chilled, nei","Imports","Tonnes","","2014","0",NA
"97","Antigua and Barbuda","Herring fillets, dried, salted or in brine","Imports","Tonnes","","2014","-",NA
"98","Antigua and Barbuda","Herring nei, fillets, frozen","Imports","Tonnes","","2014","-",NA
"99","Antigua and Barbuda","Herring, salted or in brine","Exports","Tonnes","","2014","0",NA
"100","Antigua and Barbuda","Herring, salted or in brine","Imports","Tonnes","","2014","-",NA
"101","Antigua and Barbuda","Herring, salted or in brine","Reexports","Tonnes","","2014","0",NA
"102","Antigua and Barbuda","Herrings nei, frozen","Exports","Tonnes","","2014","0",NA
"103","Antigua and Barbuda","Herrings nei, frozen","Imports","Tonnes","","2014","...",NA
"104","Antigua and Barbuda","Herrings nei, frozen","Reexports","Tonnes","","2014","0",NA
"105","Antigua and Barbuda","Herrings nei, smoked","Imports","Tonnes","","2014","56",NA
"106","Antigua and Barbuda","Herrings prepared or preserved, not minced, nei","Imports","Tonnes","","2014","2",NA
"107","Antigua and Barbuda","Herrings prepared or preserved, not minced, nei","Reexports","Tonnes","","2014","-",NA
"108","Antigua and Barbuda","Herrings, dried, whether or not salted","Imports","Tonnes","","2014","-",NA
"109","Antigua and Barbuda","Herrings, fresh or chilled, nei","Exports","Tonnes","","2014","0",NA
"110","Antigua and Barbuda","Herrings, fresh or chilled, nei","Imports","Tonnes","","2014","-",NA
"111","Antigua and Barbuda","Herrings, fresh or chilled, nei","Reexports","Tonnes","","2014","0",NA
"112","Antigua and Barbuda","Jack and horse mackerel prepared or preserved, not minced","Imports","Tonnes","","2014","-",NA
"113","Antigua and Barbuda","Ling, dried, whether or not salted, but not smoked","Imports","Tonnes","","2014","-",NA
"114","Antigua and Barbuda","Livers and roes, smoked","Imports","Tonnes","","2014","-",NA
"115","Antigua and Barbuda","Livers, roes, milt, dried, salted or in brine, nei","Imports","Tonnes","","2014","-",NA
"116","Antigua and Barbuda","Livers, roes, milt, fresh or chilled, nei","Imports","Tonnes","","2014","-",NA
"117","Antigua and Barbuda","Livers, roes, milt, frozen","Imports","Tonnes","","2014","0",NA
"118","Antigua and Barbuda","Mackerel fillets, frozen","Imports","Tonnes","","2014","-",NA
"119","Antigua and Barbuda","Mackerel prepared or preserved, not minced, nei","Imports","Tonnes","","2014","48",NA
"120","Antigua and Barbuda","Mackerel prepared or preserved, not minced, nei","Reexports","Tonnes","","2014","...",NA
"121","Antigua and Barbuda","Mackerel, dried, whether or not salted, but not smoked","Imports","Tonnes","","2014","-",NA
"122","Antigua and Barbuda","Mackerel, dried, whether or not salted, but not smoked","Reexports","Tonnes","","2014","-",NA
"123","Antigua and Barbuda","Mackerels nei, frozen","Imports","Tonnes","","2014","-",NA
"124","Antigua and Barbuda","Mackerels nei, salted or in brine","Imports","Tonnes","","2014","-",NA
"125","Antigua and Barbuda","Mackerels, fillets, prepared or preserved","Imports","Tonnes","","2014","-",NA
"126","Antigua and Barbuda","Mackerels, nei, fresh or chilled","Imports","Tonnes","","2014","-",NA
"127","Antigua and Barbuda","Mackerels, nei, fresh or chilled","Reexports","Tonnes","","2014","...",NA
"128","Antigua and Barbuda","Mackerels, smoked","Imports","Tonnes","","2014","-",NA
"129","Antigua and Barbuda","Marine fish fillets, frozen, nei","Exports","Tonnes","","2014","-",NA
"130","Antigua and Barbuda","Marine fish fillets, frozen, nei","Imports","Tonnes","","2014","-",NA
"131","Antigua and Barbuda","Marine fish nei, smoked","Exports","Tonnes","","2014","-",NA
"132","Antigua and Barbuda","Marine fish nei, smoked","Reexports","Tonnes","","2014","-",NA
"133","Antigua and Barbuda","Marine fish, fresh or chilled, nei","Exports","Tonnes","","2014","-",NA
"134","Antigua and Barbuda","Marine fish, fresh or chilled, nei","Reexports","Tonnes","","2014","-",NA
"135","Antigua and Barbuda","Marine fish, frozen, nei","Exports","Tonnes","","2014","44",NA
"136","Antigua and Barbuda","Marine fish, frozen, nei","Reexports","Tonnes","","2014","0",NA
"137","Antigua and Barbuda","Marine mammal oils, nei","Exports","Tonnes","","2014","-",NA
"138","Antigua and Barbuda","Marine mammal oils, nei","Imports","Tonnes","","2014","-",NA
"139","Antigua and Barbuda","Marine mammal oils, nei","Reexports","Tonnes","","2014","-",NA
"140","Antigua and Barbuda","Miscellaneous diadromous fish, salted or in brine, nei","Imports","Tonnes","","2014","-",NA
"141","Antigua and Barbuda","Miscellaneous marine fish fillets, fresh or chilled, nei","Exports","Tonnes","","2014","-",NA
"142","Antigua and Barbuda","Miscellaneous marine fish fillets, fresh or chilled, nei","Imports","Tonnes","","2014","-",NA
"143","Antigua and Barbuda","Miscellaneous marine fish meat, minced or not, frozen, nei","Exports","Tonnes","","2014","-",NA
"144","Antigua and Barbuda","Miscellaneous marine fish, salted or in brine, nei","Exports","Tonnes","","2014","1",NA
"145","Antigua and Barbuda","Miscellaneous marine fish, salted or in brine, nei","Reexports","Tonnes","","2014","1",NA
"146","Antigua and Barbuda","Oils and fats of aquatic animals, nei","Imports","Tonnes","","2014","-",NA
"147","Antigua and Barbuda","Ornamental fish nei","Exports","Tonnes","","2014","-",NA
"148","Antigua and Barbuda","Ornamental fish nei","Imports","Tonnes","","2014","1",NA
"149","Antigua and Barbuda","Ornamental fish nei","Reexports","Tonnes","","2014","-",NA
"150","Antigua and Barbuda","Ornamental freshwater fish","Exports","Tonnes","","2014","-",NA
"151","Antigua and Barbuda","Ornamental freshwater fish","Imports","Tonnes","","2014","-",NA
"152","Antigua and Barbuda","Ornamental saltwater fish","Imports","Tonnes","","2014","-",NA
"153","Antigua and Barbuda","Pacific cod fillets, frozen","Imports","Tonnes","","2014","-",NA
"154","Antigua and Barbuda","Pacific salmons, frozen, nei","Imports","Tonnes","","2014","-",NA
"155","Antigua and Barbuda","Plaices, fresh or chilled, nei","Imports","Tonnes","","2014","-",NA
"156","Antigua and Barbuda","Redfish, frozen, nei","Imports","Tonnes","","2014","-",NA
"157","Antigua and Barbuda","Saithe (= Pollock), salted or in brine","Imports","Tonnes","","2014","-",NA
"158","Antigua and Barbuda","Saithe (=Pollock) fillets, frozen","Imports","Tonnes","","2014","-",NA
"159","Antigua and Barbuda","Saithe (=Pollock), fresh or chilled","Imports","Tonnes","","2014","-",NA
"160","Antigua and Barbuda","Saithe (=Pollock), frozen","Imports","Tonnes","","2014","-",NA
"161","Antigua and Barbuda","Saithe, dried, whether or not salted, but not smoked","Imports","Tonnes","","2014","-",NA
"162","Antigua and Barbuda","Salmon fillets, fresh or chilled","Imports","Tonnes","","2014","-",NA
"163","Antigua and Barbuda","Salmon fillets, frozen","Imports","Tonnes","","2014","-",NA
"164","Antigua and Barbuda","Salmon minced, prepared or preserved","Imports","Tonnes","","2014","-",NA
"165","Antigua and Barbuda","Salmon nei, not minced, prepared or preserved","Imports","Tonnes","","2014","17",NA
"166","Antigua and Barbuda","Salmon roes, cured","Imports","Tonnes","","2014","-",NA
"167","Antigua and Barbuda","Salmon roes, frozen","Imports","Tonnes","","2014","-",NA
"168","Antigua and Barbuda","Salmonoids, fresh or chilled, nei","Exports","Tonnes","","2014","-",NA
