Land Area,Trade flow,Commodity,2010,S_2010,2011,S_2011,2012,S_2012,2013,S_2013,2014,S_2014,2015,S_2015,2016,S_2016
Antigua and Barbuda,Import,"Fishmeal fit for human consumption, nei",0,-,0,0,1,0,0,-,0,-,0,-,0,-
Antigua and Barbuda,Import,"Fishmeals, nei",0,-,0,-,0,-,0,0,3,.,9,.,11,.
Antigua and Barbuda,Import,"Flatfish nei, frozen",1,0,1,0,2,0,4,.,7,.,5,.,1,.
Antigua and Barbuda,Import,"Flatfish, fresh or chilled, nei",0,-,0,-,0,-,0,-,1,0,0,-,0,-
Antigua and Barbuda,Import,"Halibuts nei, frozen",0,-,0,-,0,-,3,0,0,-,0,-,0,-
Antigua and Barbuda,Import,"Halibuts, fresh or chilled, nei",0,-,0,-,0,-,0,-,1,0,0,0,1,0
Antigua and Barbuda,Import,"Herring, salted or in brine",0,-,0,-,0,-,0,-,0,-,1,0,1,0
Antigua and Barbuda,Import,"Herrings nei, frozen",0,0,1,.,0,0,0,.,0,.,17,.,0,-
Antigua and Barbuda,Import,"Herrings nei, smoked",128,.,171,.,183,.,190,.,207,.,210,.,169,.
Antigua and Barbuda,Import,"Herrings prepared or preserved, not minced, nei",3,.,3,.,3,.,2,.,7,.,1,0,1,0
Antigua and Barbuda,Import,"Livers, roes, milt, frozen",0,-,0,0,0,0,0,0,0,0,3,0,1,0
Antigua and Barbuda,Import,"Lobster tails or meat, prep. or pres.",11,.,3,0,0,-,4,.,50,.,43,.,29,.
Antigua and Barbuda,Import,"Lobsters nei, fresh or chilled",1,0,0,-,1,0,0,-,4,.,0,-,0,-
Antigua and Barbuda,Import,"Mackerel prepared or preserved, not minced, nei",147,.,249,.,263,.,350,.,117,.,184,.,192,.
Antigua and Barbuda,Import,"Mackerels nei, frozen",2,.,4,.,0,0,0,0,0,-,0,0,2,0
Antigua and Barbuda,Import,Miscellaneous corals and shells,1,0,0,0,1,0,2,0,2,.,1,.,0,0
Antigua and Barbuda,Import,"Miscellaneous crustaceans, not frozen, nei",16,.,2,.,1,0,0,0,2,0,0,0,0,0
Antigua and Barbuda,Import,"Miscellaneous molluscs, other than live, fresh or chilled, nei",77,.,87,.,113,.,65,.,95,.,103,.,91,.
Antigua and Barbuda,Import,"Molluscs and other aq. invertebrates, prep. or pres., nei",20,.,16,.,0,-,25,.,30,.,35,.,29,.
Antigua and Barbuda,Import,"Molluscs and other aqu. invertebrates, live, fresh or chilled, nei",5,0,0,0,1,0,0,0,0,0,0,-,1,0
Antigua and Barbuda,Import,"Mussels nei, other than live, fresh or chilled",19,.,24,.,23,.,27,.,35,.,36,.,18,.
Antigua and Barbuda,Import,"Mussels, live, fresh or chilled, nei",19,.,14,.,16,.,14,.,15,.,13,.,7,.
Antigua and Barbuda,Import,"Octopus, live, fresh or chilled",1,0,1,0,4,.,2,0,2,.,1,0,1,0
Antigua and Barbuda,Import,"Octopus, other than live, fresh or chilled",4,.,7,.,6,.,4,.,12,.,10,.,10,.
Antigua and Barbuda,Import,Ornamental fish nei,6,.,0,-,3,0,0,-,6,.,0,-,3,0
Antigua and Barbuda,Import,Ornamental freshwater fish,0,-,6,0,0,-,0,0,0,-,0,-,0,-
Antigua and Barbuda,Import,Ornamental saltwater fish,0,-,3,0,0,-,3,0,0,-,5,.,0,-
