Land Area,Trade flow,Commodity,2010,S_2010,2011,S_2011,2012,S_2012,2013,S_2013,2014,S_2014,2015,S_2015,2016,S_2016
Cuba,Import,"Fish liver oils, nei",0,.,0,.,0,.,0,.,0,.,31,F,0,F
Cuba,Import,"Fish meat, whether or not minced, frozen, nei",0,.,0,.,839,F,0,.,0,.,549,F,772,F
Cuba,Import,"Fish minced (=surimi), frozen",0,.,14,F,0,-,0,-,0,-,0,-,0,-
Cuba,Import,"Fish minced nei, in airtight containers prepared or preserved",0,.,0,.,14,F,0,-,0,-,857,F,1145,F
Cuba,Import,"Fish minced nei, prepared or preserved",277,.,161,F,492,F,761,F,453,F,244,F,283,F
Cuba,Import,"Fish nei, prepared or preserved, not minced",475,.,371,F,4360,F,426,F,449,F,522,F,367,F
Cuba,Import,"Fish nei, smoked",11,0,0,.,0,.,32,F,5,F,0,.,7,F
Cuba,Import,"Fish waste, nei",592,.,201,F,169,F,241,F,320,F,105,F,0,-
Cuba,Import,"Fish, crustacean and mollusc products, unfit for human consumption nei",0,.,0,.,0,.,0,.,1,F,0,.,3,F
Cuba,Import,"Fish, fresh or chilled, nei",20,.,0,.,0,-,0,-,0,-,0,-,0,-
Cuba,Import,"Fish, frozen, nei",11667,.,5500,F,385,F,226,F,94,F,78,F,59,F
Cuba,Import,"Fish, sauce",0,.,0,.,0,.,0,.,0,.,2,F,0,-
Cuba,Import,"Fishmeal fit for human consumption, nei",0,.,0,.,0,.,0,.,166,F,0,-,0,-
Cuba,Import,"Fishmeals, nei",630,.,937,F,779,F,955,F,2056,F,1075,F,813,F
Cuba,Import,"Flatfish nei, fillets, frozen",0,.,0,.,12,F,31,F,13,F,10,F,8,F
Cuba,Import,"Flatfish nei, frozen",72,.,55,F,23,F,0,-,0,-,0,-,0,-
Cuba,Import,"Freshwater fish fillets, nei, frozen",0,.,315,F,215,F,0,-,0,-,0,-,0,-
Cuba,Import,"Freshwater fish meat, whether or not minced, frozen, nei",0,.,0,.,12,F,1,F,10,F,0,-,0,-
Cuba,Import,"Freshwater fish nei, frozen",0,.,0,.,0,.,0,.,0,.,0,.,5,F
Cuba,Import,"Gadiformes fillets, fresh or chilled, nei",0,.,0,.,7,F,7,F,0,-,0,-,0,-
Cuba,Import,"Gadiformes fillets, frozen, nei",0,.,0,.,0,.,110,F,0,-,0,-,0,-
Cuba,Import,"Gadiformes nei, frozen",0,.,0,.,0,.,0,.,0,.,22,F,0,-
Cuba,Import,"Gadiformes, fillets, dried, salted or in brine, not smoked",0,.,0,.,1689,F,427,F,0,.,3,F,0,-
Cuba,Import,"Gadiformes, fresh or chilled, nei",0,.,0,.,0,.,0,.,0,.,9,F,13,F
Cuba,Import,"Hake meat, frozen",0,.,1,0,0,F,1,F,0,.,1,F,0,F
Cuba,Import,"Hake nei fillets, frozen",0,.,0,.,1319,F,1645,F,681,F,1565,F,0,-
Cuba,Import,"Hake of the genus Urophycis, frozen",0,.,9,F,0,-,0,-,0,-,0,-,0,-
Cuba,Import,"Hake, not minced, prepared or preserved",0,.,0,.,0,.,0,F,0,.,0,.,11,F
Cuba,Import,"Hakes nei, frozen",11,.,0,0,1662,F,73,F,58,F,104,F,5,F
Cuba,Import,"Halibuts, fresh or chilled, nei",0,.,0,.,0,.,0,.,1,F,0,-,0,-
Cuba,Import,"Herrings, not minced, prep. or pres. in airtight containers, nei",0,.,0,.,0,F,0,F,0,F,0,F,26,F
Cuba,Import,"Jack and horse mackerel, frozen",0,.,0,.,2703,F,6834,F,12100,F,9561,F,8633,F
Cuba,Import,"Jack and horse mackerels, fresh or chilled",0,.,0,.,45,F,0,-,0,-,0,-,0,-
Cuba,Import,"King crab, nei, frozen",0,.,12,F,0,-,0,-,0,-,0,-,0,-
Cuba,Import,"Livers, roes, milt, dried, salted or in brine, nei",1,0,0,-,0,-,0,-,0,-,0,-,0,-
Cuba,Import,"Livers, roes, milt, frozen",0,.,0,.,0,.,0,.,0,.,0,F,12,F
Cuba,Import,"Lobster tails or meat, prep. or pres.",0,.,0,.,0,.,3,F,0,.,0,F,0,F
Cuba,Import,"Mackerel fillets, frozen",0,.,0,.,216,F,0,-,0,-,0,-,0,-
Cuba,Import,"Mackerel prepared or preserved, not minced, nei",0,.,0,.,0,.,3,F,4,F,444,F,628,F
Cuba,Import,"Mackerels nei, frozen",505,.,8501,F,2156,F,1120,F,504,F,1316,F,2530,F
Cuba,Import,"Mackerels, fillets, prepared or preserved",0,.,0,.,0,F,0,F,0,F,0,F,10,F
Cuba,Import,"Marine fish fillets, frozen, nei",0,.,14,F,0,.,13,F,35,F,210,F,98,F
Cuba,Import,"Marine fish meat,whether or not minced nei, fresh or chilled",0,.,1,0,5,F,0,.,0,.,0,.,52,F
Cuba,Import,"Marine fish, frozen, nei",0,.,0,.,29,F,0,F,0,.,6,F,0,F
Cuba,Import,"Marine mammal oils, nei",0,.,0,.,0,.,0,.,0,.,41,F,0,-
Cuba,Import,"Meat of tilapias, catfish, carp, eels, nile perch and snakeheads, fresh or chilled",0,.,0,.,0,.,22,F,153,F,0,-,0,-
Cuba,Import,"Miscellaneous coastal fish,nei, fresh or chilled",0,.,0,.,3,F,0,-,0,-,0,-,0,-
Cuba,Import,"Miscellaneous coastal fishes fillets, frozen,  nei",0,.,0,.,243,F,596,F,320,F,647,F,193,F
Cuba,Import,Miscellaneous corals and shells,0,.,0,.,0,.,0,.,2,F,0,-,0,-
Cuba,Import,"Miscellaneous marine fish fillets, fresh or chilled, nei",0,.,0,.,0,.,199,F,0,F,0,-,0,-
Cuba,Import,"Miscellaneous marine fish meat, minced or not, frozen, nei",0,.,0,.,217,F,183,F,37,F,0,.,0,F
Cuba,Import,"Miscellaneous molluscs & aq. inver., other than live, fresh or chilled, nei",0,.,0,.,10,F,8,F,0,-,0,-,0,-
Cuba,Import,"Miscellaneous molluscs, other than live, fresh or chilled, nei",33,.,105,F,56,F,3,F,198,F,547,F,38,F
Cuba,Import,"Miscellaneous pelagic fish fillets, frozen, nei",0,.,0,.,0,.,0,.,6,F,5,F,0,-
Cuba,Import,"Molluscs and other aq. invertebrates, prep. or pres., nei",176,.,339,F,0,F,0,-,0,-,0,-,0,-
Cuba,Import,"Molluscs nei, dried, salted, pickled, etc.",0,.,0,.,36,F,96,F,0,-,2,F,0,-
Cuba,Import,"Molluscs nei, frozen",0,.,0,.,8,F,149,F,21,F,21,F,521,F
Cuba,Import,"Molluscs nei, prepared or preserved",0,.,0,.,79,F,67,F,255,F,217,F,278,F
Cuba,Import,"Mussel meat, prep. or pres., in airtight containers",0,.,0,.,0,.,13,F,29,F,23,F,32,F
Cuba,Import,"Mussel meat, prep. or pres., not in airtight containers",0,.,0,.,521,F,174,F,539,F,417,F,556,F
Cuba,Import,"Mussel meat, prepared or preserved, nei",0,.,0,.,174,F,140,F,113,F,112,F,17,F
Cuba,Import,"Mussels nei, other than live, fresh or chilled",47,.,29,F,0,-,0,-,0,-,0,-,124,F
Cuba,Import,"Mussels of the genus Mytilus spp., other than live, fresh or chilled",0,.,43,F,19,F,53,F,6,F,3,F,0,F
Cuba,Import,"Mussels of the genus Perna spp., other than live, fresh or chilled",0,.,0,.,0,.,0,.,0,.,0,.,4,F
Cuba,Import,"Mussels, live, fresh or chilled, nei",10,.,0,.,0,-,0,-,0,-,0,-,0,-
Cuba,Import,"Nile perch fillets, fresh or chilled",0,.,0,.,0,.,0,.,0,.,94,F,0,-
Cuba,Import,"Nile perch fillets, frozen",0,.,110,F,0,.,324,F,55,F,277,F,481,F
Cuba,Import,"Norway lobsters (Nephrops spp.), nei, frozen",0,.,3,0,11,F,18,F,6,F,10,F,24,F
Cuba,Import,"Octopus, frozen",0,.,0,.,1,F,1,F,0,-,0,-,0,-
Cuba,Import,"Octopus, live, fresh or chilled",50,.,0,-,0,-,0,-,0,-,0,-,0,-
Cuba,Import,"Octopus, other than live, fresh or chilled",1093,.,120,F,297,F,305,F,309,F,433,F,374,F
Cuba,Import,"Octopus, prepared or preserved",0,.,0,.,0,.,9,F,8,F,19,F,6,F
Cuba,Import,Ornamental freshwater fish,0,.,0,.,3,F,0,-,0,-,0,-,0,-
Cuba,Import,Ornamental saltwater fish,0,.,1,0,1,F,0,-,0,-,0,-,0,-
Cuba,Import,"Other aquatic invertebrates, prepared or preserved, nei",0,.,0,.,19,F,1,F,0,-,8,F,0,-
Cuba,Import,Other seaweeds and aquatic plants and products thereof,61,.,55,F,0,-,0,-,0,-,0,-,0,-
Cuba,Import,"Oysters, live fresh or chilled, nei",11,.,0,.,0,-,0,-,0,-,0,-,0,-
Cuba,Import,"Oysters, other than live, fresh or chilled, nei",0,.,0,.,0,.,0,.,1,F,0,.,2,F
Cuba,Import,"Pacific cod fillets, frozen",0,.,70,F,0,-,0,-,0,-,0,-,0,-
Cuba,Import,"Pacific salmons, frozen, nei",225,.,290,F,237,F,152,F,253,F,171,F,526,F
Cuba,Import,"Pilchards (Sardinops spp.), prep. or pres., not minced, nei",0,.,0,.,560,F,0,.,0,F,1310,F,647,F
Cuba,Import,"Pink salmon, not minced, prepared or preserved, nei",0,.,0,.,4,F,0,-,0,-,0,-,0,-
Cuba,Import,Preparations of surimi,0,.,0,.,0,.,0,.,0,.,0,.,1,F
Cuba,Import,"Rock lobster and other sea crawfish (Palinurus, Panulirus, Jasus), frozen, nei",0,.,0,.,0,.,0,.,0,.,272,F,0,-
Cuba,Import,"Rock lobster and other sea crawfish, not frozen",0,.,0,.,0,.,0,.,0,.,2,F,0,-
Cuba,Import,"Saithe (=Pollock) fillets, fresh or chilled",0,.,0,.,0,.,0,.,0,.,0,.,20,F
Cuba,Import,"Saithe (=Pollock) fillets, frozen",0,.,884,F,347,F,708,F,841,F,1058,F,2023,F
Cuba,Import,"Saithe (=Pollock), frozen",0,.,0,.,11,F,0,-,0,-,0,-,0,-
Cuba,Import,"Salmon fillets, fresh or chilled",0,.,0,.,17,F,7,F,0,-,37,F,0,-
Cuba,Import,"Salmon fillets, frozen",0,.,87,F,716,F,729,F,537,F,1596,F,1303,F
Cuba,Import,"Salmon minced, prepared or preserved",0,.,0,.,0,.,0,.,15,F,0,F,0,F
Cuba,Import,"Salmon nei, not minced, prepared or preserved",0,0,0,0,13,F,15,F,10,F,31,F,23,F
Cuba,Import,"Salmonoids, frozen",41,.,40,F,52,F,0,.,86,F,0,-,0,-
Cuba,Import,"Salmonoids, not minced, prepared or preserved",0,.,0,.,0,.,0,.,0,.,2,F,0,-
Cuba,Import,"Salmons, fresh or chilled, nei",113,.,0,-,0,-,0,-,0,-,0,-,0,-
Cuba,Import,"Salmons, meat. frozen",0,.,35,F,0,-,0,-,0,-,0,-,0,-
Cuba,Import,"Salmons, smoked",812,.,1535,F,1223,F,938,F,696,F,694,F,1560,F
Cuba,Import,"Sardines, sardinellas, brisling or sprats, frozen",9,.,30,F,0,-,0,-,0,-,0,-,0,-
Cuba,Import,"Sardines, sardinellas, brisling or sprats, prep. or pres., not minced, in oil",0,.,0,.,668,F,800,F,950,F,770,F,80,F
Cuba,Import,"Sardines, sardinellas, brisling or sprats, prep. or pres., not minced, nei",4000,.,2967,F,1833,F,1771,F,2363,F,2228,F,2207,F
Cuba,Import,"Scallops meat, frozen",0,.,0,.,0,.,0,.,0,.,6,F,8,F
Cuba,Import,"Scallops, live, fresh or chilled, nei",13,.,1,0,0,-,0,-,0,-,0,-,0,-
Cuba,Import,"Scallops, other than live, fresh or chilled",0,.,36,F,163,F,116,F,88,F,23,F,103,F
Cuba,Import,"Sea-urchin, frozen",0,.,0,.,0,.,0,.,0,.,0,.,3,F
Cuba,Import,"Seabass, frozen",0,.,0,0,8,F,7,F,9,F,15,F,16,F
Cuba,Import,"Seaweeds and other algae, fit for human consumption, nei",0,.,0,.,21,F,19,F,30,F,37,F,75,F
Cuba,Import,"Shark fillets nei, frozen",0,.,57,F,0,.,12,F,0,-,0,-,0,-
Cuba,Import,"Sharks nei, frozen",0,.,0,.,0,.,0,.,0,.,73,F,1,F
Cuba,Import,"Shrimps and prawns (Penaeus spp.), frozen",0,.,3,0,3,F,1,F,1,F,19,F,21,F
Cuba,Import,"Shrimps and prawns, frozen, nei",3,0,7,0,0,-,0,-,0,-,0,-,0,-
Cuba,Import,"Shrimps and prawns, other than coldwater, frozen",0,.,0,.,16,F,16,F,2,F,1,F,53,F
Cuba,Import,"Shrimps and prawns, prep. or pres., in airtight containers",0,.,0,.,14,F,44,F,46,F,34,F,113,F
Cuba,Import,"Shrimps and prawns, prep. or pres., not in airtight containers",0,.,0,.,0,.,0,.,0,.,0,.,2,F
Cuba,Import,"Shrimps, prawns, prepared or preserved, nei",31,.,0,.,0,-,0,-,0,-,0,-,0,-
Cuba,Import,"Skipjack prepared or preserved, not minced, nei",0,.,0,.,0,.,0,.,0,.,466,F,2512,F
Cuba,Import,"Skipjack tuna, frozen",2,0,0,-,0,-,0,-,0,-,0,-,0,-
Cuba,Import,"Skipjack, prepared or preserved, whole or in pieces, not minced, in oil",0,.,0,.,0,.,0,.,0,.,1352,F,2203,F
Cuba,Import,"Snappers, frozen",0,.,0,.,0,.,0,.,0,.,152,F,0,-
Cuba,Import,"Solubles from fish and marine mammals, nei",0,.,0,.,5,F,34,F,0,-,0,-,0,-
Cuba,Import,"South Pacific hake fillets, frozen",0,.,329,F,168,F,14,F,0,-,0,-,0,-
Cuba,Import,"South Pacific hake, frozen",0,.,0,.,1,F,2,F,0,-,0,-,0,-
Cuba,Import,"Southern hake, frozen",0,.,0,.,3,F,9,F,0,.,0,.,1,F
Cuba,Import,"Squids (Illex spp.), frozen",0,.,0,.,0,.,0,.,0,.,0,.,96,F
Cuba,Import,"Squids (Ommastrephes sagittatus, Loligo spp.), frozen",0,.,0,.,1,F,1,F,0,.,0,.,0,F
Cuba,Import,"Squids (Ommastrephes sagittatus, Loligo spp.), live, fresh or chilled",0,.,0,.,0,.,4,F,1,F,0,-,0,-
Cuba,Import,"Squids nei, frozen",0,.,0,.,0,.,0,.,0,.,0,.,149,F
Cuba,Import,"Squids, other than live, fresh or chilled",0,.,0,.,0,.,0,.,0,.,0,.,3,F
Cuba,Import,"Squids, prepared or preserved, nei",0,.,0,.,0,.,1,F,0,-,0,-,0,-
Cuba,Import,"Swordfish fillets, fresh or chilled",0,.,12,F,0,.,0,.,0,.,11,F,0,-
Cuba,Import,"Swordfish fillets, frozen",0,.,0,.,17,F,61,F,32,F,29,F,8,F
Cuba,Import,"Swordfish meat, frozen",0,.,0,.,0,.,0,.,18,F,0,-,0,-
Cuba,Import,"Swordfish, frozen",0,.,0,.,0,.,0,.,17,F,10,F,0,F
Cuba,Import,"Tilapia fillets, fresh or chilled",0,.,0,.,0,.,0,.,0,.,3,F,0,-
Cuba,Import,"Tilapia fillets, frozen",0,.,20,F,332,F,371,F,978,F,588,F,630,F
Cuba,Import,"Toothfish (Dissostichus spp.), fillets, frozen",0,.,0,.,0,.,0,.,0,.,44,F,0,-
Cuba,Import,"Toothfish (Dissostichus spp.), frozen",0,.,0,.,0,.,0,.,2,F,0,-,0,-
Cuba,Import,"Trout fillets, frozen",0,.,0,.,1,F,0,-,0,-,0,-,0,-
Cuba,Import,"Trouts and chars, frozen",5,.,35,F,4,F,1,F,5,F,0,-,0,-
Cuba,Import,"Trouts and chars, smoked",0,.,0,.,0,.,3,F,14,F,0,.,5,F
Cuba,Import,"Tuna loins and fillets, frozen",0,.,0,.,52,F,0,.,410,F,695,F,269,F
Cuba,Import,"Tuna loins, prepared or preserved",0,.,0,.,0,.,0,.,3,F,0,-,0,-
Cuba,Import,"Tunas nei, frozen",203,.,90,F,15,F,6,F,13,F,26,F,3,F
Cuba,Import,"Tunas nei, minced, prepared or preserved",0,.,0,.,0,.,0,.,0,.,1,F,0,-
Cuba,Import,"Tunas prepared or preserved, not minced, in airtight containers",0,.,0,.,0,F,0,.,8,F,2137,F,225,F
Cuba,Import,"Tunas prepared or preserved, not minced, in oil",0,.,0,.,0,F,1,F,5,F,146,F,270,F
Cuba,Import,"Tunas prepared or preserved, not minced, nei",4559,.,3730,F,1771,F,3637,F,3636,F,3552,F,2424,F
Cuba,Import,"Tunas, bonitos, billfishes, nei, minced, prepared or preserved",0,.,0,.,0,F,0,F,3,F,0,F,0,F
Cuba,Import,"Turbots, frozen",0,.,0,.,5,F,1,F,1,F,11,F,14,F
Cuba,Import,"Yellowfin tuna, frozen, nei",13,.,0,.,0,.,0,.,83,F,3,F,5,F
Curaçao,Export,"Albacore (=Longfin tuna), frozen, nei",0,.,4,F,57,F,156,F,0,-,5,F,10,F
Curaçao,Export,"Anchovies, prepared or preserved, not minced",0,.,0,.,0,.,0,.,1,0,0,-,0,-
Curaçao,Export,"Atlantic salmon and Danube salmon, frozen",0,.,0,.,0,.,0,.,0,.,0,.,2,0
Curaçao,Export,"Bigeye tuna, frozen, nei",0,.,1715,F,3329,F,2730,F,2880,F,2150,F,4140,F
Curaçao,Export,"Carps, eels and snakeheads, fillets, fresh or chilled",0,.,0,.,0,.,0,.,14,F,51,F,0,0
Curaçao,Export,"Cods nei, salted or in brine",0,.,0,.,8,F,0,-,0,-,0,-,0,-
Curaçao,Export,"Cods, fresh or chilled, nei",0,.,0,.,12,F,0,-,0,-,0,-,0,-
Curaçao,Export,"Cold-water shrimps and prawns (Pandalus spp., Crangon spp.), whether in shell or not, frozen",0,.,0,.,0,.,0,.,0,.,0,.,4,0
Curaçao,Export,"Crabs nei, frozen",0,.,193,F,0,-,0,-,0,-,0,-,0,-
Curaçao,Export,"Cuttlefish and squid, other than live, fresh or chilled",0,.,1,0,1,0,0,-,1,0,2,F,8,F
Curaçao,Export,"Cuttlefishes and squids, live, fresh or chilled, nei",0,.,0,.,1,0,0,-,0,-,2,F,0,-
Curaçao,Export,"Fish body oils, nei",0,.,0,.,0,.,0,.,7,0,0,-,0,0
Curaçao,Export,"Fish dried, whether or not salted, nei",0,.,1,0,0,-,0,-,3,0,0,-,0,-
Curaçao,Export,"Fish fillets, fresh or chilled, nei",0,.,2,0,0,-,0,-,0,-,0,-,0,-
Curaçao,Export,"Fish fillets, frozen, nei",0,.,30,F,0,-,0,-,0,-,0,-,0,-
Curaçao,Export,"Fish liver oils, nei",0,.,62,F,11,F,21,F,17,F,16,F,15,F
Curaçao,Export,"Fish meat, whether or not minced, frozen, nei",0,.,5,F,0,-,0,-,0,-,0,-,0,-
Curaçao,Export,"Fish minced nei, prepared or preserved",0,.,4,F,0,-,0,0,40,F,42,F,7,F
Curaçao,Export,"Fish nei, prepared or preserved, not minced",0,.,0,.,0,.,2,F,1,0,1,F,1,0
Curaçao,Export,"Fish waste, nei",0,.,0,.,0,.,0,.,77,F,30,F,14,F
Curaçao,Export,"Fish, fresh or chilled, nei",0,.,0,.,544,F,500,F,30,F,30,F,1,0
Curaçao,Export,"Fish, frozen, nei",0,.,31,F,0,.,0,.,63,F,0,-,0,-
Curaçao,Export,"Gadiformes fillets, fresh or chilled, nei",0,.,0,.,1,0,0,-,0,-,0,-,0,-
Curaçao,Export,"Gadiformes fillets, frozen, nei",0,.,0,.,0,.,0,.,24,F,0,-,0,-
Curaçao,Export,"Gadiformes nei, frozen",0,.,0,.,0,0,0,-,0,-,21,F,0,-
Curaçao,Export,"Gadiformes, fresh or chilled, nei",0,.,0,.,1,0,0,-,0,-,0,-,0,-
Curaçao,Export,"Hake nei, fresh or chilled",0,.,0,.,1,0,0,-,0,-,0,-,0,-
Curaçao,Export,"Herring, salted or in brine",0,.,0,.,5,F,0,-,0,-,0,-,0,-
Curaçao,Export,"Herrings nei, frozen",0,.,3,F,0,-,0,-,0,-,0,-,0,-
Curaçao,Export,"Herrings, fresh or chilled, nei",0,.,0,.,0,.,0,.,2,0,0,-,0,-
Curaçao,Export,"Jack and horse mackerels, fresh or chilled",0,.,0,.,0,.,0,.,0,.,0,.,59,F
Curaçao,Export,"Mackerel prepared or preserved, not minced, nei",0,.,0,.,0,.,0,.,0,.,0,.,17,F
Curaçao,Export,"Mackerels nei, frozen",0,.,0,.,0,.,0,.,1,0,0,-,0,-
Curaçao,Export,"Mackerels, nei, fresh or chilled",0,.,0,.,1,0,0,.,1,0,0,-,0,-
Curaçao,Export,"Mussels nei, other than live, fresh or chilled",0,.,9,F,35,F,0,-,0,-,0,-,0,-
Curaçao,Export,"Oyster meat, prepared or preserved, nei",0,.,0,.,0,.,0,.,4,F,0,-,0,-
Curaçao,Export,"Saithe (=Pollock), fresh or chilled",0,.,0,.,1,0,0,-,0,-,0,-,0,-
Curaçao,Export,"Salmonoids, frozen",0,.,0,.,0,.,0,.,0,.,0,.,2,0
Curaçao,Export,"Salmons, smoked",0,.,0,.,0,.,0,.,0,.,0,.,1,0
Curaçao,Export,"Sardines, sardinellas, brisling or sprats, prep. or pres., not minced, nei",0,.,0,.,0,.,0,.,4,0,0,-,33,F
Curaçao,Export,"Scallops, live, fresh or chilled, nei",0,.,5,0,0,-,0,-,0,-,0,-,0,-
Curaçao,Export,"Seaweeds and other algae, fit for human consumption, nei",0,.,0,.,0,.,0,.,1,0,0,-,0,-
Curaçao,Export,"Sharks nei, frozen",0,.,212,F,0,-,0,-,0,-,0,-,0,-
Curaçao,Export,"Shrimps and prawns, other than coldwater, frozen",0,.,0,.,0,.,0,.,2,0,52,F,7,F
Curaçao,Export,"Shrimps and prawns, other than coldwater, not frozen",0,.,0,.,0,.,0,0,8,F,6,F,4,F
Curaçao,Export,"Skipjack tuna, frozen",0,.,11160,F,17440,F,23550,F,16830,F,14400,F,18700,F
Curaçao,Export,"Swordfish fillets, frozen",0,.,23,F,0,-,0,-,0,-,0,-,0,-
Curaçao,Export,"Swordfish, frozen",0,.,0,.,4,F,0,-,0,-,0,-,0,-
Curaçao,Export,"Tilapias, frozen",0,.,0,.,7,F,0,-,0,-,0,-,0,-
Curaçao,Export,"Tunas nei, frozen",0,.,160,F,270,F,480,F,1170,F,770,F,800,F
Curaçao,Export,"Tunas prepared or preserved, not minced, nei",0,.,9,F,0,-,0,-,56,F,8,F,0,0
Curaçao,Export,"Tunas, fresh or chilled, nei",0,.,0,.,0,.,0,.,0,.,20,F,110,F
Curaçao,Export,"Yellowfin tuna, fresh or chilled",0,.,0,.,2,0,0,-,0,-,0,-,0,-
Curaçao,Export,"Yellowfin tuna, frozen, nei",0,.,6050,F,11900,F,7400,F,8850,F,7000,F,10100,F
Curaçao,Import,"Alaska pollock fillets, frozen",0,.,0,.,1,F,0,-,5,F,16,F,1,0
Curaçao,Import,"Alaska pollock, fresh or chilled",0,.,0,.,0,.,0,.,3,F,15,F,0,-
Curaçao,Import,"Alaska pollock, frozen",0,.,0,.,0,.,6,F,20,F,47,F,22,F
Curaçao,Import,"Alaska pollock, meat, whether or not minced, frozen",0,.,0,.,5,F,0,-,0,-,0,-,0,-
Curaçao,Import,"Albacore (=Longfin tuna), fresh or chilled",0,.,0,.,0,.,0,.,11,F,0,-,0,-
Curaçao,Import,"Albacore (=Longfin tuna), frozen, nei",0,.,8,F,0,-,5,F,0,-,0,-,0,-
Curaçao,Import,"American/European lobsters (Homarus spp.), nei, frozen",0,.,150,F,55,F,32,F,10,0,12,0,38,F
Curaçao,Import,"American/European lobsters (Homarus spp.), not frozen",0,.,21,F,13,0,36,F,0,-,0,-,0,-
Curaçao,Import,"Anchovies, prepared or preserved, not minced",0,.,3,0,4,0,758,F,0,0,4,0,0,0
Curaçao,Import,"Aquatic invertebrates, other than prepared or preserved",0,.,0,.,0,.,0,.,4,F,0,-,35,F
Curaçao,Import,"Atlantic (Thunnus thynnus) and Pacific (Thunnus orientalis) bluefin tuna, frozen",0,.,0,.,0,.,0,.,0,.,4,0,0,-
Curaçao,Import,"Atlantic (Thunnus thynnus)and Pacific (Thunnus orientalis) bluefin tuna, fresh or chilled",0,.,0,.,0,.,0,.,6,F,0,-,0,-
Curaçao,Import,"Atlantic and Danube salmons, fresh or chilled",0,.,0,.,53,F,4,0,4,0,12,F,12,F
Curaçao,Import,"Atlantic salmon and Danube salmon, frozen",0,.,0,0,54,F,14,F,34,F,14,F,101,F
Curaçao,Import,"Carps, frozen",0,.,0,.,0,.,0,.,11,F,0,-,0,-
Curaçao,Import,"Catfish fillets, fresh or chilled",0,.,0,.,74,F,0,-,6,0,0,-,0,-
Curaçao,Import,"Catfish fillets, frozen",0,.,0,.,0,.,0,.,0,.,0,.,1,F
Curaçao,Import,"Catfish, frozen",0,.,0,.,0,.,0,.,0,.,5,F,0,-
Curaçao,Import,Caviar,0,.,0,.,169,F,0,.,19,0,56,0,64,0
Curaçao,Import,Caviar and caviar substitutes,0,.,104,F,0,-,0,-,0,-,0,-,0,-
Curaçao,Import,Caviar substitutes,0,.,0,.,17,F,0,.,17,F,0,0,0,0
Curaçao,Import,"Cod nei, fillets, frozen",0,.,0,.,515,F,350,F,0,-,0,-,0,-
Curaçao,Import,"Cods nei, dried,  whether or not salted",0,.,1,0,3,0,0,0,0,0,4,F,3,0
Curaçao,Import,"Cods nei, frozen",0,.,0,.,3,0,0,-,21,F,12,F,17,F
Curaçao,Import,"Cods, fresh or chilled, nei",0,.,179,F,0,.,26,F,0,-,0,-,0,-
Curaçao,Import,"Cold-water shrimps and prawns (Pandalus spp., Crangon spp.), not frozen",0,.,0,.,23,F,0,.,0,.,0,0,0,0
Curaçao,Import,"Cold-water shrimps and prawns (Pandalus spp., Crangon spp.), whether in shell or not, frozen",0,.,0,.,109,F,32,F,148,F,171,F,214,F
Curaçao,Import,"Crab meat nei, prepared or preserved",0,.,8,F,17,F,188,F,47,F,24,F,6,0
Curaçao,Import,"Crabs nei, frozen",0,.,39,F,5,0,20,F,20,F,38,F,68,F
Curaçao,Import,"Crabs, not frozen",0,.,15,F,42,F,0,-,0,0,5,F,0,0
Curaçao,Import,"Crustaceans nei, frozen",0,.,0,0,228,F,837,F,152,F,119,F,267,F
Curaçao,Import,"Crustaceans nei, prepared or preserved",0,.,3,F,1,0,34,F,0,-,0,0,0,-
Curaçao,Import,"Cuttlefish and squid, other than live, fresh or chilled",0,.,14,F,42,F,3,0,98,F,32,F,36,F
Curaçao,Import,"Cuttlefish and squid, prepared or preserved",0,.,0,.,1,0,9,F,8,F,7,F,5,F
Curaçao,Import,"Eels, fresh or chilled",0,.,12,F,0,.,0,.,0,.,3,0,0,-
Curaçao,Import,"Eels, frozen",0,.,15,F,16,F,26,F,12,F,7,F,35,F
Curaçao,Import,"European plaice, frozen",0,.,0,.,0,.,0,.,9,F,0,-,0,-
Curaçao,Import,"Fish body oils, nei",0,.,572,F,12,F,3,0,6,0,9,0,10,0
Curaçao,Import,"Fish dried, whether or not salted, nei",0,.,54,F,122,F,6,F,11,F,78,F,118,F
Curaçao,Import,"Fish fillets, dried, salted or in brine, nei",0,.,667,F,963,F,1214,F,23,F,0,0,0,0
Curaçao,Import,"Fish fillets, fresh or chilled, nei",0,.,195,F,31,F,0,-,7,F,0,0,29,F
Curaçao,Import,"Fish fillets, frozen, nei",0,.,1275,F,1183,F,750,F,255,F,520,F,181,F
Curaçao,Import,"Fish live, nei",0,.,11,0,0,-,0,-,0,-,3,0,0,-
Curaçao,Import,"Fish meat, whether or not minced nei, fresh or chilled",0,.,0,.,2,0,1,0,0,-,3,0,69,F
Curaçao,Import,"Fish meat, whether or not minced, frozen, nei",0,.,1544,F,400,F,16,F,485,F,206,F,414,F
Curaçao,Import,"Fish minced nei, prepared or preserved",0,.,258,F,304,F,394,F,189,F,262,F,201,F
Curaçao,Import,"Fish nei, prepared or preserved, not minced",0,.,199,F,303,F,11,F,470,F,449,F,585,F
Curaçao,Import,"Fish nei, salted or in brine",0,.,19,F,8,F,139,F,9,F,9,F,8,F
Curaçao,Import,"Fish nei, smoked",0,.,52,F,25,F,18,F,10,F,6,F,0,-
