Land Area,Trade flow,Commodity,2010,S_2010,2011,S_2011,2012,S_2012,2013,S_2013,2014,S_2014,2015,S_2015,2016,S_2016
Colombia,Import,"Anchovies, prepared or preserved, not minced",804,.,892,.,1249,.,701,.,542,.,51,.,11,.
Colombia,Import,"Aquatic invertebrates, other than prepared or preserved",0,.,0,.,1,.,0,.,2,.,0,-,0,-
Colombia,Import,"Atlantic (Thunnus thynnus) and Pacific (Thunnus orientalis) bluefin tuna, frozen",0,.,0,.,0,.,0,0,7,.,102,.,283,.
Colombia,Import,"Atlantic and Danube salmons, fresh or chilled",0,.,0,.,157,.,117,.,136,.,166,.,178,.
Colombia,Import,"Atlantic salmon and Danube salmon, frozen",0,.,0,.,114,.,613,.,941,.,1956,.,2624,.
Colombia,Import,"Bigeye tuna, frozen, nei",0,-,0,-,88,.,937,.,269,.,62,.,141,.
Colombia,Import,"Carps, eels and snakeheads, fillets, fresh or chilled",0,.,0,.,5,.,2,.,2,.,0,-,0,-
Colombia,Import,"Carps, eels and snakeheads, fillets, frozen",0,.,0,.,0,0,1,.,1,.,5,.,0,-
Colombia,Import,"Carps, frozen",0,.,0,.,0,.,26,.,7,.,1,.,0,-
Colombia,Import,"Catfish fillets, fresh or chilled",0,.,0,.,6321,.,3057,.,2195,.,1715,.,2372,.
Colombia,Import,"Catfish fillets, frozen",0,.,0,.,8651,.,11972,.,13328,.,10999,.,11719,.
Colombia,Import,"Catfish, frozen",0,.,0,.,3048,.,6525,.,8689,.,8726,.,12183,.
Colombia,Import,Caviar,0,.,0,.,4,.,3,.,2,.,2,.,1,.
Colombia,Import,Caviar and caviar substitutes,1,.,1,.,0,-,0,-,0,-,0,-,0,-
Colombia,Import,Caviar substitutes,0,.,0,.,0,.,0,0,0,0,0,0,1,.
Colombia,Import,"Clams, cockles, arkshells, etc., prep. or pres., nei",0,.,0,.,7,.,5,.,2,.,1,.,4,.
Colombia,Import,"Clams, cockles, arkshells, other than live, fresh or chilled",0,.,0,.,6,.,8,.,12,.,29,.,28,.
Colombia,Import,"Clams, prep. or pres., whether or not in airtight containers",8,.,22,F,0,-,0,-,0,-,0,-,0,-
Colombia,Import,Cod liver oil,185,.,115,.,147,.,112,.,134,.,151,.,81,.
Colombia,Import,"Cod nei fillets, dried, salted or in brine",2,.,0,0,0,-,0,-,0,-,0,-,0,-
Colombia,Import,"Cod nei, fillets, frozen",0,.,0,.,0,0,6,.,16,.,16,.,9,.
Colombia,Import,"Cods nei, dried,  whether or not salted",0,-,7,.,25,.,4,.,10,.,5,.,12,.
Colombia,Import,"Cods nei, frozen",0,.,0,.,0,.,0,.,0,0,0,0,19,.
Colombia,Import,"Cold-water shrimps and prawns (Pandalus spp., Crangon spp.), whether in shell or not, frozen",0,.,0,.,549,.,689,.,207,.,23,.,0,-
Colombia,Import,"Common sole, frozen",3,.,0,0,2,.,3,.,6,.,1,.,7,.
Colombia,Import,Coral and the like,1,.,4,.,6,.,10,.,2,.,1,.,1,.
Colombia,Import,"Crab meat nei, prepared or preserved",1,.,2,.,55,.,63,.,209,.,177,.,187,.
Colombia,Import,"Crabs nei, frozen",26,.,51,.,41,.,37,.,8,.,11,.,7,.
Colombia,Import,"Crustacean meal, nei",0,-,0,-,0,0,635,.,1562,.,1515,.,1442,.
Colombia,Import,"Crustaceans nei, frozen",9,.,50,.,1,.,0,0,1,.,1,.,0,0
Colombia,Import,"Crustaceans nei, prepared or preserved",0,0,4,.,5,.,1,.,1,.,0,0,0,0
Colombia,Import,"Cuttlefish and squid, other than live, fresh or chilled",3297,.,3631,.,4171,.,3406,.,4205,.,4255,.,3856,.
Colombia,Import,"Cuttlefish and squid, prepared or preserved",0,.,0,.,19,.,26,.,21,.,30,.,43,.
Colombia,Import,"Cuttlefishes and squids, live, fresh or chilled, nei",0,-,0,-,30,.,41,.,0,0,0,0,0,-
Colombia,Import,"Eels, frozen",0,.,0,.,5,.,0,-,0,-,0,-,0,-
Colombia,Import,"Fish body oils, nei",2286,.,2181,.,2580,.,3397,.,3063,.,3179,.,3242,.
Colombia,Import,"Fish dried, whether or not salted, nei",31,.,0,-,0,-,26,.,0,-,0,-,0,-
Colombia,Import,"Fish fillets, dried, salted or in brine, nei",1,.,1,.,1,.,1,.,60,.,1,.,1,.
Colombia,Import,"Fish fillets, fresh or chilled, nei",363,.,443,.,0,.,2,.,4,.,31,.,10,.
Colombia,Import,"Fish fillets, frozen, nei",12445,.,17010,.,822,.,999,.,691,.,800,.,666,.
Colombia,Import,"Fish heads, tail, maws etc., dried, salted, or in brine",0,.,0,.,1087,.,1193,.,1408,.,1246,.,1657,.
Colombia,Import,"Fish meat, whether or not minced nei, fresh or chilled",0,.,0,.,0,0,1,.,2,.,0,-,1,.
Colombia,Import,"Fish meat, whether or not minced, frozen, nei",1174,.,1551,.,1633,.,884,.,725,.,457,.,523,.
Colombia,Import,"Fish minced nei, prepared or preserved",3729,.,3138,.,3470,.,4447,.,3761,.,5298,.,5454,.
Colombia,Import,"Fish nei, prepared or preserved, not minced",3225,.,6208,.,5432,.,4735,.,4497,.,5786,.,7144,.
Colombia,Import,"Fish nei, salted or in brine",96,.,82,.,56,.,176,.,110,.,83,.,27,.
Colombia,Import,"Fish waste, nei",2205,.,1751,.,1324,.,527,.,14,.,13,.,14,.
Colombia,Import,"Fish, fresh or chilled, nei",0,.,21,.,0,.,4,.,0,-,79,.,91,.
Colombia,Import,"Fish, frozen, nei",20361,.,19512,.,11061,.,13136,.,19530,.,23983,.,24401,.
Colombia,Import,"Fishmeal fit for human consumption, nei",0,-,2,.,1,.,0,0,14,.,31,.,16,.
Colombia,Import,"Fishmeals, nei",17706,.,15842,.,16587,.,16896,.,17383,.,9425,.,9579,.
Colombia,Import,"Flatfish nei, fillets, frozen",0,.,0,.,1,.,10,.,0,-,0,-,0,0
Colombia,Import,"Flatfish nei, frozen",0,-,25,.,0,-,0,-,4,.,4,.,0,-
Colombia,Import,"Flatfish, fresh or chilled, nei",0,-,0,-,0,-,0,-,0,-,1,.,0,0
Colombia,Import,"Freshwater shrimps and prawns, frozen",0,.,0,.,0,.,0,.,38,.,0,-,0,-
Colombia,Import,"Gadiformes excl. Alaska pollock, meat, whether or not minced, frozen",0,.,0,.,57,.,24,.,0,-,10,.,18,.
Colombia,Import,"Gadiformes fillets, frozen, nei",0,.,0,.,18,.,0,-,10,.,0,-,10,.
Colombia,Import,"Gadiformes nei, frozen",0,.,0,.,915,.,274,.,24,.,207,.,243,.
Colombia,Import,"Hake nei fillets, frozen",1262,.,1302,.,1032,.,1124,.,1241,.,809,.,646,.
Colombia,Import,"Hakes nei, frozen",103,.,90,.,107,.,46,.,73,.,25,.,35,.
Colombia,Import,"Halibuts nei, frozen",0,.,0,.,0,.,0,.,0,.,0,.,9,.
Colombia,Import,"Herrings nei, frozen",0,.,0,.,0,.,1,.,3,.,0,-,10,.
Colombia,Import,"Herrings prepared or preserved, not minced, nei",5,.,5,.,10,.,13,.,6,.,10,.,8,.
Colombia,Import,"Jack and horse mackerel, frozen",0,.,0,.,509,.,310,.,897,.,524,.,709,.
Colombia,Import,Jellyfish preparations,0,.,0,.,3,.,0,-,0,-,0,-,0,-
Colombia,Import,"Livers, roes, milt, frozen",45,.,34,.,63,.,66,.,53,.,68,.,39,.
Colombia,Import,"Lobsters nei, frozen",0,-,1,.,0,0,7,.,1,.,3,.,2,.
Colombia,Import,"Mackerel prepared or preserved, not minced, nei",74,.,385,.,192,.,68,.,615,.,197,.,142,.
Colombia,Import,"Mackerels nei, frozen",4,.,5,.,4,.,17,.,9,.,6,.,21,.
Colombia,Import,"Mackerels, nei, fresh or chilled",0,.,0,.,0,.,0,.,0,.,0,.,1,.
Colombia,Import,"Marine fish nei, smoked",6,.,3,.,1,.,10,.,1,.,5,.,7,.
Colombia,Import,"Miscellaneous crustaceans, not frozen, nei",0,-,0,-,0,-,2,.,0,-,0,-,0,-
Colombia,Import,"Molluscs and other aq. invertebrates, dried, salted, etc.",110,.,6,.,23,.,13,.,36,.,46,.,675,.
Colombia,Import,"Molluscs and other aqu. invertebrates, live, fresh or chilled, nei",3,.,3,.,0,-,0,-,0,-,0,-,0,-
Colombia,Import,"Molluscs nei, frozen",0,-,0,-,3,.,3,.,2,.,6,.,4,.
Colombia,Import,"Molluscs nei, live, fresh or chilled",0,.,0,.,0,.,0,.,4,.,0,-,0,-
Colombia,Import,"Molluscs nei, prepared or preserved",102,.,87,.,11,.,14,.,8,.,92,.,21,.
Colombia,Import,"Mussel meat, prepared or preserved, nei",0,.,0,.,83,.,124,.,118,.,233,.,194,.
Colombia,Import,"Mussels nei, other than live, fresh or chilled",92,.,108,.,145,.,118,.,112,.,92,.,44,.
Colombia,Import,"Mussels, live, fresh or chilled, nei",1,.,0,0,1,.,1,.,0,0,0,-,0,-
Colombia,Import,Natural sponges nei,1,.,1,.,0,0,1,.,0,-,0,0,0,0
Colombia,Import,"Nile perch (Lates niloticus) and snakeheads (Channa spp.), frozen",0,.,0,.,3352,.,7175,.,6466,.,8195,.,5193,.
Colombia,Import,"Nile perch fillets, fresh or chilled",0,.,0,.,1,.,26,.,24,.,0,-,0,-
Colombia,Import,"Nile perch fillets, frozen",0,.,0,.,16,.,67,.,17,.,57,.,89,.
Colombia,Import,"Octopus, live, fresh or chilled",1,.,2,.,1,.,2,.,7,.,3,.,2,.
Colombia,Import,"Octopus, other than live, fresh or chilled",146,.,214,.,210,.,251,.,300,.,528,.,457,.
Colombia,Import,"Octopus, prepared or preserved",0,.,0,.,12,.,17,.,16,.,17,.,11,.
Colombia,Import,"Other aquatic invertebrates, prepared or preserved, nei",0,.,0,.,25,.,16,.,21,.,19,.,45,.
Colombia,Import,Other seaweeds and aquatic plants and products thereof,29,.,33,.,0,.,0,.,0,.,0,.,0,.
Colombia,Import,"Oyster meat, prepared or preserved, nei",0,.,0,.,0,0,0,0,0,0,4,.,0,-
Colombia,Import,"Oysters, live fresh or chilled, nei",8,.,7,.,3,.,5,.,4,.,0,0,0,-
Colombia,Import,"Pacific salmons, frozen, nei",57,.,45,.,45,.,88,.,118,.,396,.,85,.
Colombia,Import,"Pilchards (Sardinops spp.), prep. or pres., not minced, in oil",697,.,501,.,590,.,604,.,492,.,384,.,367,.
Colombia,Import,"Pilchards (Sardinops spp.), prep. or pres., not minced, in tomato sauce",20102,.,20659,.,19712,.,20145,.,18657,.,16402,.,14050,.
Colombia,Import,"Pilchards (Sardinops spp.), prep. or pres., not minced, nei",71,.,76,.,83,.,98,.,35,.,16,.,0,-
Colombia,Import,"River eels, prepared or preserved, not minced, nei",0,.,0,.,3,.,1,.,1,.,2,.,1,.
Colombia,Import,"Salmon fillets, fresh or chilled",0,.,0,.,818,.,1036,.,1178,.,1387,.,1172,.
Colombia,Import,"Salmon fillets, frozen",0,.,0,.,1096,.,1547,.,1884,.,1829,.,1273,.
Colombia,Import,"Salmon nei, not minced, prepared or preserved",25,.,21,.,13,.,43,.,40,.,156,.,81,.
Colombia,Import,"Salmonoids, fresh or chilled, nei",2,.,2,.,0,-,0,-,0,-,0,-,0,-
Colombia,Import,"Salmonoids, frozen",60,.,5,.,0,.,12,.,0,.,0,.,0,.
Colombia,Import,"Salmons nei, frozen",36,.,41,.,0,.,0,.,0,.,0,.,0,.
Colombia,Import,"Salmons, fresh or chilled, nei",126,.,149,.,0,.,0,.,0,.,0,.,0,.
Colombia,Import,"Salmons, smoked",57,.,69,.,87,.,189,.,191,.,177,.,151,.
Colombia,Import,"Sardines, sardinellas, brisling or sprats, frozen",65,.,141,.,191,.,92,.,49,.,40,.,54,.
Colombia,Import,"Sardines, sardinellas, brisling or sprats, prep. or pres., not minced, nei",0,0,1,.,5,.,9,.,0,0,0,0,0,0
Colombia,Import,"Scallop meat, prepared or preserved",0,.,0,.,4,.,4,.,6,.,7,.,5,.
Colombia,Import,"Scallops, live, fresh or chilled, nei",201,.,108,.,22,.,1,.,0,0,0,-,0,-
Colombia,Import,"Scallops, other than live, fresh or chilled",6,.,33,.,8,.,9,.,12,.,16,.,8,.
Colombia,Import,"Seabass, frozen",1,.,39,.,0,0,8,.,8,.,0,0,26,.
Colombia,Import,"Seaweeds and other algae, fit for human consumption, nei",0,.,0,.,23,.,19,.,30,.,37,.,34,.
Colombia,Import,"Seaweeds and other algae, unfit for human consumption, nei",0,.,0,.,9,.,6,.,70,.,98,.,118,.
Colombia,Import,"Sharks nei, frozen",387,.,72,.,241,.,118,.,120,.,116,.,209,.
Colombia,Import,"Shrimps and prawns (Penaeus spp.), frozen",0,.,0,0,0,.,0,0,0,-,1,.,9,.
Colombia,Import,"Shrimps and prawns, fan tails, frozen",15,.,0,-,0,-,0,-,0,-,0,-,0,-
Colombia,Import,"Shrimps and prawns, frozen, nei",2751,.,3411,.,0,-,0,-,0,-,0,-,0,-
Colombia,Import,"Shrimps and prawns, other than coldwater, frozen",0,.,0,.,3438,.,5043,.,4918,.,5188,.,5735,.
Colombia,Import,"Shrimps and prawns, other than coldwater, not frozen",0,.,0,.,1,.,0,-,0,-,0,-,0,-
Colombia,Import,"Shrimps and prawns, prep. or pres., in airtight containers",0,.,0,.,172,.,39,.,33,.,45,.,24,.
Colombia,Import,"Shrimps and prawns, prep. or pres., not in airtight containers",0,.,0,.,18,.,73,.,208,.,81,.,35,.
Colombia,Import,"Shrimps and prawns, tails, shell on, frozen",3,.,0,-,0,-,0,-,0,-,0,-,0,-
Colombia,Import,"Shrimps, prawns live, for breeding and other purposes",3,.,0,-,0,-,0,-,0,-,0,-,0,-
Colombia,Import,"Shrimps, prawns, prepared or preserved, nei",229,.,221,.,0,.,0,.,0,.,0,.,0,.
Colombia,Import,"Skipjack prepared or preserved, not minced, nei",1439,.,801,.,17,.,6702,.,6811,.,6416,.,3127,.
Colombia,Import,"Skipjack tuna, frozen",143,.,203,.,885,.,13383,.,11626,.,10969,.,7385,.
Colombia,Import,"Southern bluefin tuna (Thunnus maccoyii), frozen",0,.,1,.,0,0,0,0,0,-,0,-,0,-
Colombia,Import,"Swordfish fillets, fresh or chilled",0,.,1,.,0,.,0,.,3,.,1,.,0,-
Colombia,Import,"Swordfish fillets, frozen",0,.,0,0,0,0,1,.,0,-,2,.,8,.
Colombia,Import,"Swordfish meat, frozen",0,0,0,-,0,-,0,-,1,.,0,-,47,.
Colombia,Import,"Swordfish, frozen",0,.,0,.,13,.,35,.,93,.,132,.,95,.
Colombia,Import,"Tilapia fillets, fresh or chilled",105,.,0,.,699,.,783,.,598,.,303,.,522,.
Colombia,Import,"Tilapia fillets, frozen",517,.,780,.,935,.,1281,.,2134,.,1687,.,2587,.
Colombia,Import,"Tilapias, catfish, carp, eels, Nile perch and snakeheads  meat, frozen",0,.,0,.,1360,.,352,.,637,.,501,.,761,.
Colombia,Import,"Tilapias, catfish, carp, eels, Nile perch and snakeheads, including fillets, smoked",0,.,0,.,0,0,9,.,10,.,13,.,10,.
Colombia,Import,"Tilapias, fresh or chilled",0,.,0,.,6,.,0,-,0,-,0,-,0,-
Colombia,Import,"Tilapias, frozen",973,.,201,.,23,.,100,.,432,.,895,.,805,.
Colombia,Import,"Toothfish (Dissostichus spp.), fillets, fresh or chilled",0,.,0,.,3,.,0,-,0,-,0,-,0,-
Colombia,Import,"Toothfish (Dissostichus spp.), fillets, frozen",29,.,8,.,5,.,1,.,3,.,0,-,0,-
Colombia,Import,"Toothfish (Dissostichus spp.), meat, frozen",1,.,1,.,0,-,0,0,0,-,1,.,0,0
Colombia,Import,"Trout fillets, fresh and chilled",0,.,0,.,0,.,1,.,0,-,0,-,0,-
Colombia,Import,"Trout fillets, frozen",0,.,0,.,55,.,32,.,40,.,43,.,102,.
Colombia,Import,"Trouts and chars, fresh or chilled",8,.,1,.,0,-,0,-,0,-,0,-,0,-
Colombia,Import,"Trouts and chars, frozen",16,.,5,.,10,.,64,.,46,.,301,.,42,.
Colombia,Import,"Trouts and chars, smoked",0,.,0,.,0,0,1,.,0,0,1,.,0,-
Colombia,Import,"Tuna loins and fillets, frozen",0,.,0,.,75,.,91,.,128,.,229,.,212,.
Colombia,Import,"Tunas nei, frozen",0,-,0,-,49,.,33,.,0,-,0,-,0,-
Colombia,Import,"Tunas prepared or preserved, not minced, nei",21367,.,23756,.,25706,.,19874,.,23412,.,22993,.,25426,.
Colombia,Import,"Tunas, fresh or chilled, nei",0,-,1,.,0,-,7,.,3,.,4,.,3,.
Colombia,Import,"Turbot, fresh or chilled",0,.,0,.,0,.,0,.,2,.,4,.,4,.
Colombia,Import,"Univalves nei, frozen",110,.,91,.,87,.,36,.,27,.,39,.,0,-
Colombia,Import,"Yellowfin tuna, fresh or chilled",4,.,1,.,0,0,0,-,0,-,0,-,2,.
Colombia,Import,"Yellowfin tuna, frozen, nei",209,.,372,.,1804,.,4780,.,2261,.,353,.,866,.
Colombia,Production,"Albacore (=Longfin tuna), frozen, nei",0,-,15,F,22,F,0,.,0,.,0,.,0,.
Colombia,Production,"Bigeye tuna, frozen, nei",678,.,1390,F,1000,F,400,F,665,F,1210,F,785,F
Colombia,Production,"Fish fillets, fresh or chilled, nei",51059,.,50000,F,46000,F,43000,F,55000,F,48000,F,50000,F
Colombia,Production,"Freshwater fish, dried, whether or not salted, not smoked, nei",940,.,1000,F,1020,F,820,F,830,F,890,F,900,F
Colombia,Production,"Miscellaneous molluscs, other than live, fresh or chilled, nei",109,.,110,F,0,.,0,.,0,.,0,.,0,.
Colombia,Production,"Shrimps and prawns, frozen, nei",2400,.,7500,F,7160,F,2750,F,2280,F,2440,F,3100,F
Colombia,Production,"Skipjack tuna, frozen",6859,.,21320,F,14950,F,15940,F,15155,F,10820,F,11215,F
Colombia,Production,"Spiny lobsters (Panulirus spp.), nei, frozen",23,.,141,F,150,F,128,F,95,F,110,F,145,F
Colombia,Production,"Tunas nei, frozen",8721,.,3678,F,3870,F,8950,F,11530,F,5230,F,2260,F
Colombia,Production,"Tunas prepared or preserved, not minced, nei",4500,F,4100,F,5600,F,5900,F,6800,F,3000,F,3210,F
Colombia,Production,"Yellowfin tuna, frozen, nei",10591,.,22506,F,20305,F,16300,F,23310,F,23390,F,19650,F
Cuba,Export,"American/European lobsters (Homarus spp.), nei, frozen",0,.,16,F,453,F,220,F,43,F,102,F,372,F
Cuba,Export,"American/European lobsters (Homarus spp.), whole, frozen",0,.,16,F,47,F,158,F,31,F,33,F,0,-
Cuba,Export,"Clam meat, frozen",0,.,0,.,0,.,0,.,16,F,0,-,0,-
Cuba,Export,Coral and the like,0,.,0,.,12,F,1,F,1,F,0,-,0,-
Cuba,Export,"Crabs nei, frozen",5,.,12,F,31,F,39,F,5,F,8,F,9,F
Cuba,Export,"Crustaceans nei, frozen",0,.,0,.,3,F,1,F,0,-,0,-,0,-
Cuba,Export,"Crustaceans nei, prepared or preserved",1,.,4,.,10,F,9,F,10,F,9,F,4,F
Cuba,Export,Eels and elvers live,0,.,3,F,13,F,5,F,3,F,16,F,0,F
Cuba,Export,"Eels, frozen",0,0,1,F,0,F,0,-,0,-,0,-,0,-
Cuba,Export,"Fish dried, whether or not salted, nei",1,.,0,.,0,.,0,.,0,.,0,.,0,.
Cuba,Export,"Fish live, nei",10,.,5,F,0,F,0,F,0,F,0,-,0,-
Cuba,Export,"Fish nei, prepared or preserved, not minced",0,.,0,.,0,.,0,.,8,F,0,-,0,-
Cuba,Export,"Fish waste, nei",0,.,0,.,0,F,0,F,0,.,13,F,40,F
Cuba,Export,"Fish, frozen, nei",483,.,363,F,340,F,360,F,0,-,0,-,0,-
Cuba,Export,"Lobster tails or meat, prep. or pres.",0,.,0,.,0,.,0,F,12,F,16,F,2,F
Cuba,Export,"Lobsters nei, frozen",0,.,0,.,0,F,0,F,3,F,2,F,2,F
Cuba,Export,"Miscellaneous aq. invert., dried, salted or in brine, nei",0,.,0,.,2,F,1,F,0,-,0,-,0,-
Cuba,Export,Miscellaneous corals and shells,0,.,0,.,0,.,22,F,45,F,28,F,0,-
Cuba,Export,"Miscellaneous crustaceans, not frozen, nei",2,.,0,0,0,F,0,F,0,F,0,F,0,-
Cuba,Export,"Miscellaneous molluscs & aq. inver., other than live, fresh or chilled, nei",0,.,0,.,0,.,0,.,1,F,0,-,0,-
Cuba,Export,"Miscellaneous molluscs, other than live, fresh or chilled, nei",6,.,13,F,0,.,0,.,22,F,18,F,0,-
Cuba,Export,"Molluscs and other aqu. invertebrates, live, fresh or chilled, nei",0,.,2,F,4,F,15,F,0,-,0,-,0,-
Cuba,Export,"Molluscs nei, frozen",0,.,0,.,9,F,15,F,0,.,0,.,110,F
Cuba,Export,"Molluscs nei, live, fresh or chilled",0,.,0,.,0,.,0,.,3,F,1,F,0,-
Cuba,Export,"Mussels nei, other than live, fresh or chilled",0,.,3,F,0,-,0,-,0,-,0,-,0,-
Cuba,Export,Natural sponges raw,0,.,25,F,23,F,16,F,27,F,18,F,30,F
Cuba,Export,"Nile perch (Lates niloticus) and snakeheads (Channa spp.), frozen",0,.,0,.,0,.,0,.,0,.,0,.,171,F
Cuba,Export,Ornamental fish nei,9,.,6,F,0,-,0,-,0,-,0,-,0,-
Cuba,Export,Ornamental freshwater fish,0,.,0,.,2,F,2,F,4,F,2,F,1,F
Cuba,Export,Ornamental saltwater fish,0,.,0,.,4,F,3,F,4,F,2,F,4,F
Cuba,Export,"Other  edible fish offal, dried, salted or in brine",0,.,0,.,0,.,0,.,0,.,2,F,0,-
Cuba,Export,"Other aquatic invertebrates, live, fresh or chilled",0,.,1,F,0,F,0,F,0,F,0,F,0,F
Cuba,Export,Other seaweeds and aquatic plants and products thereof,1,.,0,-,0,-,0,-,0,-,0,-,0,-
Cuba,Export,"Rock lobster & other sea crawfish (Palinurus,Panulirus,Jasus), fresh or chilled, nei",0,.,0,.,0,F,0,-,16,F,0,-,0,-
Cuba,Export,"Rock lobster and other sea crawfish (Palinurus, Panulirus, Jasus), frozen, nei",2721,.,2622,F,1949,F,1637,F,1309,F,1901,F,2055,F
Cuba,Export,"Rock lobster and other sea crawfish, not frozen",76,.,56,F,71,F,91,F,79,F,50,F,47,F
Cuba,Export,"Rock lobsters (Jasus spp.), nei, frozen",0,.,4,F,12,F,1,F,59,F,0,-,0,-
Cuba,Export,"Salmon fillets, fresh or chilled",0,.,0,.,0,.,0,.,0,.,0,.,9,F
Cuba,Export,"Salmonoids, frozen",0,.,0,.,0,.,0,.,320,F,300,F,0,-
Cuba,Export,"Scallops meat, frozen",0,.,0,.,8,F,0,-,0,-,0,-,0,-
Cuba,Export,"Scallops, other than live, fresh or chilled",18,.,0,.,0,.,0,.,0,F,0,-,0,-
Cuba,Export,"Sea-cucumber, dried, salted or in brine",0,.,7,F,7,F,3,F,0,.,0,.,35,F
Cuba,Export,"Sea-cucumber, frozen",0,.,0,.,0,.,0,.,0,.,12,F,28,F
Cuba,Export,"Sea-cucumber, prepared or preserved",0,.,0,.,0,.,0,.,18,F,0,-,0,-
Cuba,Export,"Seaweeds and other algae, unfit for human consumption, nei",0,.,0,.,0,.,5,F,0,F,0,-,0,-
Cuba,Export,"Shark fins, dried, whether or not salted, etc.",0,.,4,F,4,F,4,F,0,.,2,F,1,F
Cuba,Export,"Shrimps and prawns (Penaeus spp.), frozen",0,.,1179,F,601,F,1136,F,1263,F,2687,F,4290,F
Cuba,Export,"Shrimps and prawns, frozen, nei",2377,.,17,F,0,-,0,-,0,-,0,-,0,-
Cuba,Export,"Shrimps and prawns, not frozen, nei",0,.,4,F,0,-,0,-,0,-,0,-,0,-
Cuba,Export,"Shrimps and prawns, other than coldwater, frozen",0,.,0,.,43,F,97,F,251,F,374,F,62,F
Cuba,Export,"Shrimps, prawns live, for breeding and other purposes",0,.,0,.,1,F,1,F,0,-,0,-,0,-
Cuba,Export,"Swordfish fillets, frozen",0,.,9,F,0,-,0,-,0,-,0,-,0,-
Cuba,Import,"Abalones, shucked or not, other than live,fresh or chilled",0,.,0,.,0,.,0,.,0,.,0,.,1,F
Cuba,Import,Agar agar nei,0,0,1,F,1,F,5,F,8,F,3,F,7,F
Cuba,Import,"Alaska pollock fillets, frozen",0,.,0,.,197,F,82,F,223,F,168,F,154,F
Cuba,Import,"Alaska pollock, meat, whether or not minced, frozen",0,.,8,F,0,-,0,-,0,-,0,-,0,-
Cuba,Import,"Albacore (=Longfin tuna), frozen, nei",2,.,0,.,0,.,0,.,0,F,0,F,0,F
Cuba,Import,"Anchovies, prepared or preserved, not minced",2,.,0,0,0,F,250,F,0,F,2,F,0,-
Cuba,Import,"Angler (=monk), frozen",0,.,3,F,21,F,5,F,16,F,21,F,28,F
Cuba,Import,"Argentinian hake fillets, frozen",0,.,0,.,0,.,0,.,4,F,61,F,384,F
Cuba,Import,"Argentinian hake, frozen",0,.,0,.,33,F,11,F,14,F,23,F,20,F
Cuba,Import,"Atlantic (Thunnus thynnus) and Pacific (Thunnus orientalis) bluefin tuna, frozen",0,.,3,F,0,-,0,-,0,-,0,-,0,-
Cuba,Import,"Atlantic cod, frozen",0,.,1,F,1,F,0,.,1,F,1,F,2,F
Cuba,Import,"Atlantic cod, meat, frozen",0,.,1,F,1,F,0,.,0,.,0,.,0,F
Cuba,Import,"Atlantic mackerel prepared or preserved, not minced",0,.,0,0,0,F,1,F,1,F,23,F,0,F
Cuba,Import,"Atlantic mackerel, frozen",0,.,0,.,0,.,0,.,0,.,0,.,24,F
Cuba,Import,"Atlantic salmon and Danube salmon, frozen",3,.,10,F,20,F,5,F,13,F,71,F,43,F
Cuba,Import,"Bonito (Sarda spp.), not minced, prepared or preserved, nei",0,.,0,.,0,F,0,F,2,F,1,F,1,F
Cuba,Import,"Cape hake fillets, frozen",0,.,2,F,0,.,0,F,0,-,0,-,0,-
Cuba,Import,"Cape hake, frozen",0,.,7,F,11,F,6,F,0,.,1,F,7,F
Cuba,Import,"Capelin, frozen",0,.,20,F,0,-,0,-,0,-,0,-,0,-
Cuba,Import,"Carps, eels and snakeheads, fillets, frozen",0,.,0,.,0,.,72,F,7,F,12,F,2,F
Cuba,Import,"Catfish fillets, fresh or chilled",0,.,0,.,0,.,0,.,0,.,0,.,24,F
Cuba,Import,"Catfish fillets, frozen",0,.,3,F,0,.,5,F,51,F,121,F,100,F
Cuba,Import,Caviar substitutes,0,.,1,F,0,F,0,F,0,F,1,F,0,F
Cuba,Import,"Chilean hake fillets, fresh or chilled",0,.,0,.,1,F,0,-,0,-,0,-,0,-
Cuba,Import,"Chub mackerel prepared or preserved, not minced",0,.,0,.,0,.,0,.,0,.,0,.,184,F
Cuba,Import,"Clam meat, frozen",0,.,27,F,56,F,14,F,7,F,10,F,43,F
Cuba,Import,"Clams, cockles, arkshells, etc., prep. or pres., nei",0,.,0,.,0,.,2,F,1,F,0,F,1,F
Cuba,Import,"Clams, cockles, arkshells, live, fresh or chilled",0,.,0,.,6,F,0,-,0,-,0,-,0,-
Cuba,Import,"Clams, cockles, arkshells, other than live, fresh or chilled",0,.,0,.,4,F,2,F,13,F,29,F,1,F
Cuba,Import,"Clams, prep. or pres., whether or not in airtight containers",0,.,0,.,3,F,0,-,0,-,0,-,0,-
Cuba,Import,"Cod nei fillets, dried, salted or in brine",0,.,0,.,0,F,1,F,0,-,0,-,0,-
Cuba,Import,"Cod nei, fillets, frozen",0,.,1,F,22,F,12,F,33,F,36,F,289,F
Cuba,Import,"Cod, salted and dried (klipfish)",0,.,0,.,0,.,0,F,1,F,0,-,0,-
Cuba,Import,"Cods nei, fillets, fresh or chilled",0,.,0,.,4,F,0,-,0,-,0,-,0,-
Cuba,Import,"Cods, not minced, prepared or preserved",0,.,0,.,0,.,1,F,1,F,0,.,8,F
Cuba,Import,"Common sole, frozen",0,.,2,F,0,F,0,F,0,F,0,F,0,F
