Land Area,Trade flow,Commodity,2010,S_2010,2011,S_2011,2012,S_2012,2013,S_2013,2014,S_2014,2015,S_2015,2016,S_2016
Antigua and Barbuda,Import,"Mussels, live, fresh or chilled, nei",3,.,4,.,4,.,4,.,6,.,5,.,2,.
Antigua and Barbuda,Import,"Octopus, live, fresh or chilled",0,0,0,0,1,.,0,0,1,.,0,0,0,0
Antigua and Barbuda,Import,"Octopus, other than live, fresh or chilled",1,.,1,.,1,.,1,.,1,.,1,.,1,.
Antigua and Barbuda,Import,Ornamental fish nei,1,.,0,-,0,0,0,-,1,.,0,-,0,0
Antigua and Barbuda,Import,Ornamental saltwater fish,0,-,0,0,0,-,0,0,0,-,1,.,0,-
Antigua and Barbuda,Import,Other seaweeds and aquatic plants and products thereof,3,.,4,.,0,-,3,.,3,.,3,.,2,.
Antigua and Barbuda,Import,"Oysters, live fresh or chilled, nei",1,.,0,0,0,0,0,0,1,.,1,.,1,.
Antigua and Barbuda,Import,"Salmon nei, not minced, prepared or preserved",15,.,14,.,11,.,15,.,17,.,17,.,16,.
Antigua and Barbuda,Import,"Salmonoids, frozen",0,0,2,.,0,0,3,.,2,.,4,.,7,.
Antigua and Barbuda,Import,"Salmons nei, frozen",0,-,5,.,8,.,0,-,0,-,0,-,0,-
Antigua and Barbuda,Import,"Salmons, fresh or chilled, nei",2,.,1,.,4,.,3,.,4,.,4,.,9,.
Antigua and Barbuda,Import,"Salmons, smoked",14,.,13,.,27,.,13,.,13,.,16,.,14,.
Antigua and Barbuda,Import,"Sardines, sardinellas, brisling or sprats, frozen",1,.,0,0,0,-,9,.,5,.,5,.,0,-
Antigua and Barbuda,Import,"Sardines, sardinellas, brisling or sprats, prep. or pres., not minced, nei",120,.,88,.,173,.,85,.,121,.,97,.,90,.
Antigua and Barbuda,Import,"Scallops, live, fresh or chilled, nei",1,.,0,0,1,.,1,.,0,0,1,.,0,0
Antigua and Barbuda,Import,"Scallops, other than live, fresh or chilled",14,.,11,.,10,.,9,.,8,.,9,.,17,.
Antigua and Barbuda,Import,"Seabass, frozen",2,.,0,0,1,.,1,.,0,0,0,0,0,0
Antigua and Barbuda,Import,"Shrimps and prawns, frozen, nei",106,.,94,.,96,.,115,.,137,.,122,.,103,.
Antigua and Barbuda,Import,"Shrimps and prawns, not frozen, nei",0,0,0,0,0,0,0,0,1,.,0,0,0,0
Antigua and Barbuda,Import,"Shrimps, prawns, prepared or preserved, nei",36,.,51,.,48,.,44,.,35,.,44,.,57,.
Antigua and Barbuda,Import,"Sockeye salmon (red salmon)(Oncorhynchus nerka), frozen",0,.,0,.,0,-,2,.,3,.,4,.,2,.
Antigua and Barbuda,Import,"Swordfish fillets, frozen",0,.,0,.,0,-,9,.,0,-,0,-,0,-
Antigua and Barbuda,Import,"Swordfish meat, frozen",0,.,0,.,0,-,1,.,4,.,0,-,0,-
Antigua and Barbuda,Import,"Swordfish, frozen",0,.,0,.,0,.,2,.,2,.,1,.,1,.
Antigua and Barbuda,Import,"Trouts and chars, fresh or chilled",0,0,0,-,0,-,0,-,0,-,1,.,0,0
Antigua and Barbuda,Import,"Trouts and chars, frozen",1,.,0,0,0,-,0,-,0,-,0,-,0,-
Antigua and Barbuda,Import,"Tunas prepared or preserved, not minced, nei",149,.,224,.,191,.,177,.,174,.,174,.,150,.
Antigua and Barbuda,Import,"Yellowfin tuna, frozen, nei",4,.,4,.,7,.,10,.,8,.,8,.,9,.
Antigua and Barbuda,Reexports,"Cods nei, dried,  whether or not salted",0,-,0,0,0,0,1,.,0,-,1,.,0,0
Antigua and Barbuda,Reexports,"Fish dried, whether or not salted, nei",0,-,0,-,0,-,0,0,11,.,1,.,0,-
Antigua and Barbuda,Reexports,"Miscellaneous marine fish, salted or in brine, nei",0,-,0,-,0,-,0,-,1,.,0,-,2,.
Antigua and Barbuda,Reexports,"Miscellaneous molluscs, other than live, fresh or chilled, nei",0,.,0,.,0,.,0,.,0,.,1,.,0,-
Antigua and Barbuda,Reexports,"Molluscs and other aq. invertebrates, prep. or pres., nei",1,.,0,-,0,-,0,-,0,-,0,-,0,-
Aruba,Export,"American/European lobsters (Homarus spp.), nei, frozen",0,.,0,.,0,.,0,.,0,.,0,.,1,.
Aruba,Export,"Fish dried, whether or not salted, nei",0,-,0,-,0,-,0,-,0,0,1,.,0,-
