Country (Country),Commodity (Commodity),Trade flow (Trade flow),Unit,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aruba,"Atlantic (Thunnus thynnus) and Pacific (Thunnus orientalis) bluefin tuna, frozen",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,-,-,-,-,-,1,-
Aruba,"Atlantic (Thunnus thynnus), Pacific (T.orientalis) bluefin tuna, live",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,-,-
Aruba,"Atlantic (Thunnus thynnus)and Pacific (Thunnus orientalis) bluefin tuna, fresh or chilled",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1
Aruba,"Bigeye tuna, fresh or chilled",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0
Aruba,"Skipjack tuna, fresh or chilled",Exports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1 F,...,0 0,-,-,2,-,-,-,0 0,0 0,0 0,-,-,-,-,-,-,-,-
Aruba,"Skipjack tuna, fresh or chilled",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,20,-,18,25,29,18,12,11,24,4,-,-,-,-,-,-,-,-
Aruba,"Skipjack tuna, frozen",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,0 0,-,-,-,-
Aruba,"Tuna loins and fillets, frozen",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1,0 0,0 0
Aruba,"Tunas nei, frozen",Exports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,0 0,-,-,-,0 0,-,-
Aruba,"Tunas nei, frozen",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,21,15,12,9,2,3,6,6
Aruba,"Tunas prepared or preserved, not minced, nei",Exports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1,-,-,-,0 0,0 0,0 0
Aruba,"Tunas prepared or preserved, not minced, nei",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,4 F,29 F,31 F,...,...,...,...,...,...,...,...,...,...,204,152,166,227,168,115,108,132
Aruba,"Tunas, fresh or chilled, nei",Exports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,1,-
Aruba,"Tunas, fresh or chilled, nei",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,20,19,-,4,-,23,30,35
Aruba,"Yellowfin tuna, fresh or chilled",Exports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,-,0 0,0 0,0 0,-,-,-,1,0 0,-,-,-,-,-,-,-,-
Aruba,"Yellowfin tuna, fresh or chilled",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,32,...,31,36,54,64,62,55,48,74,0 0,0 0,-,-,-,-,-,-
Bahamas,"Albacore (=Longfin tuna), fresh or chilled",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1,-,1,2,4,5,2,2,2,0 0,1,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,-
Bahamas,"Albacore (=Longfin tuna), frozen, nei",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,-,2,2,1,0 0,0 0,2,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,1,-
Bahamas,"Atlantic (Thunnus thynnus) and Pacific (Thunnus orientalis) bluefin tuna, frozen",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,-,-,0 0,-,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,0 0,-
Bahamas,"Atlantic (Thunnus thynnus), Pacific (T.orientalis) bluefin tuna, live",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,-,0 0,0 0,-,-,0 0,0 0,-
Bahamas,"Atlantic (Thunnus thynnus)and Pacific (Thunnus orientalis) bluefin tuna, fresh or chilled",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,0 0,0 0,0 0,2,3,3,0 0,1,0 0,0 0,1 F
Bahamas,"Bigeye tuna, fresh or chilled",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,-,-,...,0 0,-,0 0,-,-,0 0,-,0 0,-,1,-
Bahamas,"Bigeye tuna, frozen, nei",Exports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,36 F
Bahamas,"Bigeye tuna, frozen, nei",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,-,-,0 0,0 0,-,-,0 0,-,-,-,0 0,-,0 0,-
Bahamas,"Dolphinfishes, fresh or chilled",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1,0 0,...,...,...,0 0,1,3,3,2,7,14,19,8,13,12,-
Bahamas,"Dolphinfishes, frozen",Exports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
