"","Country","Commodity","Flow","Unit","X","Year","Quantity"," F"
"64","Bahamas","Tunas nei, frozen","Imports","Tonnes","","2014","13",NA
"65","Bahamas","Tunas prepared or preserved, not minced, in airtight containers","Imports","Tonnes","","2014","1831",NA
"66","Bahamas","Tunas prepared or preserved, not minced, in oil","Imports","Tonnes","","2014","...",NA
"67","Bahamas","Tunas prepared or preserved, not minced, nei","Exports","Tonnes","","2014","-",NA
"68","Bahamas","Tunas prepared or preserved, not minced, nei","Imports","Tonnes","","2014","1",NA
"69","Bahamas","Tunas prepared or preserved, not minced, nei","Reexports","Tonnes","","2014","-",NA
"70","Bahamas","Tunas, bonitos, billfishes, fresh or chilled, nei","Exports","Tonnes","","2014","-",NA
"71","Bahamas","Tunas, bonitos, billfishes, fresh or chilled, nei","Imports","Tonnes","","2014","0",NA
"72","Bahamas","Tunas, bonitos, billfishes, frozen, nei","Imports","Tonnes","","2014","0",NA
"73","Bahamas","Tunas, flakes and grated, prepared or preserved","Exports","Tonnes","","2014","...",NA
"74","Bahamas","Tunas, fresh or chilled, nei","Exports","Tonnes","","2014","-",NA
"75","Bahamas","Tunas, fresh or chilled, nei","Imports","Tonnes","","2014","128",NA
"76","Bahamas","Yellowfin tuna, fresh or chilled","Imports","Tonnes","","2014","7",NA
"77","Bahamas","Yellowfin tuna, frozen, nei","Exports","Tonnes","","2014","...",NA
"78","Bahamas","Yellowfin tuna, frozen, nei","Imports","Tonnes","","2014","4",NA
"79","Barbados","Albacore (=Longfin tuna), fresh or chilled","Exports","Tonnes","","2014","-",NA
"80","Barbados","Albacore (=Longfin tuna), fresh or chilled","Imports","Tonnes","","2014","-",NA
"81","Barbados","Albacore (=Longfin tuna), frozen, nei","Exports","Tonnes","","2014","-",NA
"82","Barbados","Albacore (=Longfin tuna), frozen, nei","Imports","Tonnes","","2014","1",NA
"83","Barbados","Albacore (=Longfin tuna), frozen, nei","Reexports","Tonnes","","2014","-",NA
"84","Barbados","Atlantic (Thunnus thynnus) and Pacific (Thunnus orientalis) bluefin tuna, frozen","Exports","Tonnes","","2014","-",NA
"85","Barbados","Atlantic (Thunnus thynnus) and Pacific (Thunnus orientalis) bluefin tuna, frozen","Imports","Tonnes","","2014","...",NA
"86","Barbados","Bigeye tuna, fresh or chilled","Exports","Tonnes","","2014","3",NA
"87","Barbados","Bigeye tuna, fresh or chilled","Imports","Tonnes","","2014","-",NA
"88","Barbados","Dolphinfishes, frozen","Exports","Tonnes","","2014","-",NA
"89","Barbados","Miscellaneous pelagic fish fillets, frozen, nei","Exports","Tonnes","","2014","1",NA
"90","Barbados","Miscellaneous pelagic fish fillets, frozen, nei","Imports","Tonnes","","2014","57",NA
"91","Barbados","Miscellaneous pelagic fish, fillets, fresh or chilled, nei","Exports","Tonnes","","2014","0",NA
"92","Barbados","Miscellaneous pelagic fish, fillets, fresh or chilled, nei","Imports","Tonnes","","2014","19",NA
"93","Barbados","Miscellaneous pelagic fish, nei, frozen","Exports","Tonnes","","2014","0",NA
"94","Barbados","Miscellaneous pelagic fish, nei, frozen","Imports","Tonnes","","2014","1162",NA
"95","Barbados","Skipjack prepared or preserved, not minced, nei","Imports","Tonnes","","2014","1",NA
"96","Barbados","Skipjack tuna, fresh or chilled","Exports","Tonnes","","2014","-",NA
"97","Barbados","Skipjack tuna, fresh or chilled","Imports","Tonnes","","2014","-",NA
"98","Barbados","Southern bluefin tuna (Thunnus maccoyii), fresh or chilled","Exports","Tonnes","","2014","-",NA
"99","Barbados","Tuna loins and fillets, fresh or chilled","Exports","Tonnes","","2014","28",NA
"100","Barbados","Tuna loins and fillets, fresh or chilled","Imports","Tonnes","","2014","0",NA
"101","Barbados","Tuna loins and fillets, frozen","Exports","Tonnes","","2014","-",NA
"102","Barbados","Tuna loins and fillets, frozen","Imports","Tonnes","","2014","2",NA
"103","Barbados","Tunas nei, frozen","Exports","Tonnes","","2014","-",NA
"104","Barbados","Tunas nei, frozen","Imports","Tonnes","","2014","1",NA
"105","Barbados","Tunas nei, frozen","Reexports","Tonnes","","2014","-",NA
"106","Barbados","Tunas prepared or preserved, not minced, nei","Exports","Tonnes","","2014","1",NA
"107","Barbados","Tunas prepared or preserved, not minced, nei","Imports","Tonnes","","2014","1178",NA
"108","Barbados","Tunas prepared or preserved, not minced, nei","Reexports","Tonnes","","2014","5",NA
"109","Barbados","Tunas, fresh or chilled, nei","Exports","Tonnes","","2014","-",NA
"110","Barbados","Tunas, fresh or chilled, nei","Imports","Tonnes","","2014","-",NA
"111","Barbados","Tunas, fresh or chilled, nei","Reexports","Tonnes","","2014","-",NA
"112","Barbados","Yellowfin tuna, fresh or chilled","Exports","Tonnes","","2014","114",NA
"113","Barbados","Yellowfin tuna, fresh or chilled","Imports","Tonnes","","2014","25",NA
"114","Barbados","Yellowfin tuna, fresh or chilled","Reexports","Tonnes","","2014","-",NA
"115","Barbados","Yellowfin tuna, frozen, nei","Exports","Tonnes","","2014","-",NA
"116","Barbados","Yellowfin tuna, frozen, nei","Imports","Tonnes","","2014","132",NA
"117","Bermuda","Albacore (=Longfin tuna), fresh or chilled","Imports","Tonnes","","2014","0",NA
"118","Bermuda","Albacore (=Longfin tuna), frozen, nei","Imports","Tonnes","","2014","-",NA
"119","Bermuda","Atlantic (Thunnus thynnus), Pacific (T.orientalis) bluefin tuna, live","Imports","Tonnes","","2014","-",NA
"120","Bermuda","Atlantic (Thunnus thynnus)and Pacific (Thunnus orientalis) bluefin tuna, fresh or chilled","Imports","Tonnes","","2014","-",NA
"121","Bermuda","Bigeye tuna, fresh or chilled","Imports","Tonnes","","2014","-",NA
"122","Bermuda","Bonito (Sarda spp.), not minced, prepared or preserved, nei","Imports","Tonnes","","2014","-",NA
"123","Bermuda","Skipjack prepared or preserved, not minced, nei","Imports","Tonnes","","2014","-",NA
"124","Bermuda","Skipjack tuna, fresh or chilled","Imports","Tonnes","","2014","-",NA
"125","Bermuda","Southern bluefin tuna (Thunnus maccoyii), fresh or chilled","Imports","Tonnes","","2014","-",NA
"126","Bermuda","Tuna loins and fillets, frozen","Imports","Tonnes","","2014","25",""
"127","Bermuda","Tunas nei, frozen","Imports","Tonnes","","2014","20",""
"128","Bermuda","Tunas prepared or preserved, not minced, in airtight containers","Imports","Tonnes","","2014","-",NA
"129","Bermuda","Tunas prepared or preserved, not minced, in oil","Imports","Tonnes","","2014","-",NA
"130","Bermuda","Tunas prepared or preserved, not minced, nei","Exports","Tonnes","","2014","...",NA
"131","Bermuda","Tunas prepared or preserved, not minced, nei","Imports","Tonnes","","2014","189",NA
"132","Bermuda","Tunas, fresh or chilled, nei","Exports","Tonnes","","2014","-",NA
"133","Bermuda","Tunas, fresh or chilled, nei","Imports","Tonnes","","2014","40",""
"134","Bermuda","Yellowfin tuna, fresh or chilled","Exports","Tonnes","","2014","-",NA
"135","Bermuda","Yellowfin tuna, fresh or chilled","Imports","Tonnes","","2014","-",NA
"136","Bermuda","Yellowfin tuna, frozen, nei","Imports","Tonnes","","2014","-",NA
"137","Cayman Islands","Albacore (=Longfin tuna), fresh or chilled","Imports","Tonnes","","2014","43",""
"138","Cayman Islands","Atlantic (Thunnus thynnus), Pacific (T.orientalis) bluefin tuna, live","Imports","Tonnes","","2014","-",NA
"139","Cayman Islands","Bigeye tuna, fresh or chilled","Imports","Tonnes","","2014","-",NA
"140","Cayman Islands","Skipjack tuna, frozen","Exports","Tonnes","","2014","-",NA
"141","Cayman Islands","Skipjack tuna, frozen","Imports","Tonnes","","2014","-",NA
"142","Cayman Islands","Southern bluefin tuna (Thunnus maccoyii), frozen","Imports","Tonnes","","2014","-",NA
"143","Cayman Islands","Tuna loins and fillets, frozen","Imports","Tonnes","","2014","-",NA
"144","Cayman Islands","Tuna meat, whether or not minced, frozen","Imports","Tonnes","","2014","...",NA
"145","Cayman Islands","Tunas nei, frozen","Imports","Tonnes","","2014","1",""
"146","Cayman Islands","Tunas prepared or preserved, not minced, nei","Exports","Tonnes","","2014","-",NA
"147","Cayman Islands","Tunas prepared or preserved, not minced, nei","Imports","Tonnes","","2014","17",""
"148","Cayman Islands","Tunas, bonitos, billfishes, meat, whether or not minced, frozen, nei","Imports","Tonnes","","2014","-",NA
"149","Cayman Islands","Tunas, bonitos, billfishes, nei, minced, prepared or preserved","Imports","Tonnes","","2014","-",NA
"150","Cayman Islands","Tunas, fresh or chilled, nei","Imports","Tonnes","","2014","-",NA
"151","Cayman Islands","Yellowfin tuna, fresh or chilled","Imports","Tonnes","","2014","6",""
"152","Cayman Islands","Yellowfin tuna, frozen, nei","Exports","Tonnes","","2014","-",NA
"153","Cayman Islands","Yellowfin tuna, frozen, nei","Imports","Tonnes","","2014","-",NA
"154","Cuba","Albacore (=Longfin tuna), fresh or chilled","Imports","Tonnes","","2014","0",""
"155","Cuba","Albacore (=Longfin tuna), frozen, nei","Imports","Tonnes","","2014","0",""
"156","Cuba","Atlantic (Thunnus thynnus) and Pacific (Thunnus orientalis) bluefin tuna, frozen","Imports","Tonnes","","2014","-",NA
"157","Cuba","Bonito (Sarda spp.), not minced, prepared or preserved, nei","Imports","Tonnes","","2014","2",""
"158","Cuba","Bonito (Sarda spp.), not minced, prepared or preserved, nei","Production","Tonnes","","2014","...",NA
"159","Cuba","Miscellaneous pelagic fish fillets, frozen, nei","Imports","Tonnes","","2014","1",""
"160","Cuba","Miscellaneous pelagic fish nei, minced, prepared or preserved","Imports","Tonnes","","2014","...",NA
"161","Cuba","Skipjack prepared or preserved, not minced, nei","Imports","Tonnes","","2014","...",NA
"162","Cuba","Skipjack tuna, fresh or chilled","Exports","Tonnes","","2014","-",NA
"163","Cuba","Skipjack tuna, frozen","Imports","Tonnes","","2014","-",NA
"164","Cuba","Skipjack, prepared or preserved, whole or in pieces, not minced, in oil","Imports","Tonnes","","2014","...",NA
"165","Cuba","Tuna loins and fillets, frozen","Imports","Tonnes","","2014","31",""
"166","Cuba","Tuna loins, prepared or preserved","Imports","Tonnes","","2014","0",""
"167","Cuba","Tunas nei, frozen","Exports","Tonnes","","2014","-",NA
"168","Cuba","Tunas nei, frozen","Imports","Tonnes","","2014","8",""
"169","Cuba","Tunas nei, minced, prepared or preserved","Imports","Tonnes","","2014","...",NA
"170","Cuba","Tunas prepared or preserved, not minced, in airtight containers","Imports","Tonnes","","2014","0",""
"171","Cuba","Tunas prepared or preserved, not minced, in oil","Imports","Tonnes","","2014","1",""
"172","Cuba","Tunas prepared or preserved, not minced, nei","Exports","Tonnes","","2014","-",NA
"173","Cuba","Tunas prepared or preserved, not minced, nei","Imports","Tonnes","","2014","845",""
"174","Cuba","Tunas prepared or preserved, not minced, nei","Production","Tonnes","","2014","-",NA
"175","Cuba","Tunas prepared or preserved, not minced, nei","Reexports","Tonnes","","2014","-",NA
"176","Cuba","Tunas, bonitos, billfishes, nei, minced, prepared or preserved","Imports","Tonnes","","2014","0",""
"177","Cuba","Tunas, fresh or chilled, nei","Exports","Tonnes","","2014","-",NA
"178","Cuba","Tunas, fresh or chilled, nei","Imports","Tonnes","","2014","-",NA
"179","Cuba","Yellowfin tuna, fresh or chilled","Imports","Tonnes","","2014","-",NA
"180","Cuba","Yellowfin tuna, frozen, nei","Imports","Tonnes","","2014","8",""
"181","Curaçao","Albacore (=Longfin tuna), fresh or chilled","Imports","Tonnes","","2014","3",""
"182","Curaçao","Albacore (=Longfin tuna), frozen, nei","Exports","Tonnes","","2014","-",NA
"183","Curaçao","Albacore (=Longfin tuna), frozen, nei","Imports","Tonnes","","2014","-",NA
"184","Curaçao","Atlantic (Thunnus thynnus) and Pacific (Thunnus orientalis) bluefin tuna, frozen","Imports","Tonnes","","2014","...",NA
"185","Curaçao","Atlantic (Thunnus thynnus)and Pacific (Thunnus orientalis) bluefin tuna, fresh or chilled","Imports","Tonnes","","2014","1",""
"186","Curaçao","Bigeye tuna, frozen, nei","Exports","Tonnes","","2014","1200",""
"187","Curaçao","Skipjack tuna, frozen","Exports","Tonnes","","2014","12300",""
"188","Curaçao","Skipjack tuna, frozen","Imports","Tonnes","","2014","1",""
"189","Curaçao","Tuna loins and fillets, frozen","Imports","Tonnes","","2014","11",""
"190","Curaçao","Tunas nei, frozen","Exports","Tonnes","","2014","1100",""
"191","Curaçao","Tunas nei, frozen","Imports","Tonnes","","2014","4",""
"192","Curaçao","Tunas prepared or preserved, not minced, nei","Exports","Tonnes","","2014","13",""
"193","Curaçao","Tunas prepared or preserved, not minced, nei","Imports","Tonnes","","2014","145",""
"194","Curaçao","Tunas, fresh or chilled, nei","Exports","Tonnes","","2014","...",NA
"195","Curaçao","Yellowfin tuna, fresh or chilled","Exports","Tonnes","","2014","-",NA
"196","Curaçao","Yellowfin tuna, frozen, nei","Exports","Tonnes","","2014","3500",""
"197","Curaçao","Yellowfin tuna, frozen, nei","Imports","Tonnes","","2014","-",NA
"198","Dominica","Albacore (=Longfin tuna), fresh or chilled","Imports","Tonnes","","2014","-",NA
"199","Dominica","Albacore (=Longfin tuna), frozen, nei","Exports","Tonnes","","2014","-",NA
"200","Dominica","Albacore (=Longfin tuna), frozen, nei","Imports","Tonnes","","2014","-",NA
"201","Dominica","Bigeye tuna, fresh or chilled","Exports","Tonnes","","2014","-",NA
"202","Dominica","Skipjack prepared or preserved, not minced, nei","Imports","Tonnes","","2014","...",NA
"203","Dominica","Skipjack tuna, fresh or chilled","Imports","Tonnes","","2014","-",NA
"204","Dominica","Tunas nei, frozen","Imports","Tonnes","","2014","1",""
"205","Dominica","Tunas prepared or preserved, not minced, in airtight containers","Imports","Tonnes","","2014","...",NA
"206","Dominica","Tunas prepared or preserved, not minced, nei","Exports","Tonnes","","2014","-",NA
"207","Dominica","Tunas prepared or preserved, not minced, nei","Imports","Tonnes","","2014","2",""
"208","Dominica","Tunas prepared or preserved, not minced, nei","Reexports","Tonnes","","2014","-",NA
"209","Dominica","Tunas, fresh or chilled, nei","Exports","Tonnes","","2014","-",NA
"210","Dominica","Tunas, fresh or chilled, nei","Imports","Tonnes","","2014","...",NA
"211","Dominica","Yellowfin tuna, fresh or chilled","Exports","Tonnes","","2014","-",NA
"212","Dominica","Yellowfin tuna, fresh or chilled","Imports","Tonnes","","2014","-",NA
"213","Dominica","Yellowfin tuna, fresh or chilled","Reexports","Tonnes","","2014","-",NA
"214","Dominica","Yellowfin tuna, frozen, nei","Exports","Tonnes","","2014","-",NA
"215","Dominica","Yellowfin tuna, frozen, nei","Imports","Tonnes","","2014","-",NA
"216","Dominican Republic","Albacore (=Longfin tuna), fresh or chilled","Imports","Tonnes","","2014","-",NA
"217","Dominican Republic","Albacore (=Longfin tuna), frozen, nei","Exports","Tonnes","","2014","-",NA
"218","Dominican Republic","Albacore (=Longfin tuna), frozen, nei","Imports","Tonnes","","2014","6",""
"219","Dominican Republic","Atlantic (Thunnus thynnus) and Pacific (Thunnus orientalis) bluefin tuna, frozen","Exports","Tonnes","","2014","...",NA
"220","Dominican Republic","Atlantic (Thunnus thynnus) and Pacific (Thunnus orientalis) bluefin tuna, frozen","Imports","Tonnes","","2014","2",""
"221","Dominican Republic","Atlantic (Thunnus thynnus), Pacific (T.orientalis) bluefin tuna, live","Exports","Tonnes","","2014","...",NA
"222","Dominican Republic","Atlantic (Thunnus thynnus), Pacific (T.orientalis) bluefin tuna, live","Imports","Tonnes","","2014","...",NA
"223","Dominican Republic","Atlantic (Thunnus thynnus)and Pacific (Thunnus orientalis) bluefin tuna, fresh or chilled","Exports","Tonnes","","2014","-",NA
"224","Dominican Republic","Atlantic (Thunnus thynnus)and Pacific (Thunnus orientalis) bluefin tuna, fresh or chilled","Imports","Tonnes","","2014","-",NA
"225","Dominican Republic","Bigeye tuna, fresh or chilled","Imports","Tonnes","","2014","-",NA
"226","Dominican Republic","Bigeye tuna, frozen, nei","Imports","Tonnes","","2014","...",NA
"227","Dominican Republic","Bonito (Sarda spp.), not minced, prepared or preserved, nei","Imports","Tonnes","","2014","-",NA
"228","Dominican Republic","Dolphinfishes, frozen","Exports","Tonnes","","2014","-",NA
"229","Dominican Republic","Dolphinfishes, frozen","Imports","Tonnes","","2014","45",""
"230","Dominican Republic","Miscellaneous pelagic fish fillets, frozen, nei","Imports","Tonnes","","2014","-",NA
"231","Dominican Republic","Skipjack prepared or preserved, not minced, nei","Imports","Tonnes","","2014","-",NA
"232","Dominican Republic","Skipjack tuna, fresh or chilled","Imports","Tonnes","","2014","0",NA
"233","Dominican Republic","Skipjack tuna, frozen","Imports","Tonnes","","2014","0",NA
"234","Dominican Republic","Skipjack, prepared or preserved, whole or in pieces, not minced, in oil","Imports","Tonnes","","2014","-",NA
"235","Dominican Republic","Southern bluefin tuna (Thunnus maccoyii), frozen","Exports","Tonnes","","2014","-",NA
"236","Dominican Republic","Southern bluefin tuna (Thunnus maccoyii), frozen","Imports","Tonnes","","2014","1",""
"237","Dominican Republic","Tuna loins and fillets, frozen","Exports","Tonnes","","2014","...",NA
"238","Dominican Republic","Tuna loins and fillets, frozen","Imports","Tonnes","","2014","140",""
"239","Dominican Republic","Tunas nei, frozen","Imports","Tonnes","","2014","3",""
"240","Dominican Republic","Tunas prepared or preserved, not minced, in oil","Imports","Tonnes","","2014","-",NA
"241","Dominican Republic","Tunas prepared or preserved, not minced, nei","Exports","Tonnes","","2014","1",NA
"242","Dominican Republic","Tunas prepared or preserved, not minced, nei","Imports","Tonnes","","2014","3016",""
"243","Dominican Republic","Tunas, fresh or chilled, nei","Exports","Tonnes","","2014","2",NA
"244","Dominican Republic","Tunas, fresh or chilled, nei","Imports","Tonnes","","2014","1",""
"245","Dominican Republic","Yellowfin tuna, fresh or chilled","Exports","Tonnes","","2014","-",NA
"246","Dominican Republic","Yellowfin tuna, fresh or chilled","Imports","Tonnes","","2014","-",NA
"247","Dominican Republic","Yellowfin tuna, frozen, nei","Imports","Tonnes","","2014","18",""
"248","Grenada","Albacore (=Longfin tuna), fresh or chilled","Exports","Tonnes","","2014","...",NA
"249","Grenada","Albacore (=Longfin tuna), fresh or chilled","Imports","Tonnes","","2014","-",NA
"250","Grenada","Albacore (=Longfin tuna), frozen, nei","Exports","Tonnes","","2014","-",NA
"251","Grenada","Albacore (=Longfin tuna), frozen, nei","Imports","Tonnes","","2014","-",NA
"252","Grenada","Albacore (=Longfin tuna), frozen, nei","Reexports","Tonnes","","2014","-",NA
"253","Grenada","Bigeye tuna, fresh or chilled","Exports","Tonnes","","2014","0",""
"254","Grenada","Dolphinfishes, fresh or chilled","Exports","Tonnes","","2014","...",NA
"255","Grenada","Miscellaneous pelagic fish fillets, frozen, nei","Imports","Tonnes","","2014","-",NA
"256","Grenada","Miscellaneous pelagic fish, nei, frozen","Exports","Tonnes","","2014","-",NA
"257","Grenada","Skipjack prepared or preserved, not minced, nei","Imports","Tonnes","","2014","...",NA
"258","Grenada","Skipjack tuna, fresh or chilled","Exports","Tonnes","","2014","-",NA
"259","Grenada","Skipjack tuna, frozen","Exports","Tonnes","","2014","-",NA
"260","Grenada","Skipjack, prepared or preserved, whole or in pieces, not minced, in oil","Imports","Tonnes","","2014","-",NA
"261","Grenada","Tuna loins and fillets, frozen","Exports","Tonnes","","2014","-",NA
"262","Grenada","Tuna loins and fillets, frozen","Imports","Tonnes","","2014","3",""
"263","Grenada","Tunas nei, frozen","Exports","Tonnes","","2014","-",NA
"264","Grenada","Tunas nei, frozen","Imports","Tonnes","","2014","1",""
"265","Grenada","Tunas prepared or preserved, not minced, in airtight containers","Imports","Tonnes","","2014","...",NA
"266","Grenada","Tunas prepared or preserved, not minced, nei","Exports","Tonnes","","2014","-",NA
"267","Grenada","Tunas prepared or preserved, not minced, nei","Imports","Tonnes","","2014","48",""
"268","Grenada","Tunas, bonitos, billfishes, nei, minced, prepared or preserved","Imports","Tonnes","","2014","-",NA
"269","Grenada","Tunas, fresh or chilled, nei","Exports","Tonnes","","2014","-",NA
"270","Grenada","Tunas, fresh or chilled, nei","Imports","Tonnes","","2014","-",NA
"271","Grenada","Yellowfin tuna, fresh or chilled","Exports","Tonnes","","2014","25",""
