Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
CL,Food Supply - Livestock and Fish Primary Equivalent,5803,Small Island Developing States,645,Food supply quantity (kg/capita/yr),2769,"Aquatic Animals, Others",2013,2013,kg,0.03,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,5803,Small Island Developing States,664,Food supply (kcal/capita/day),2769,"Aquatic Animals, Others",2005,2005,kcal/capita/day,0,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,5803,Small Island Developing States,664,Food supply (kcal/capita/day),2769,"Aquatic Animals, Others",2006,2006,kcal/capita/day,0,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,5803,Small Island Developing States,664,Food supply (kcal/capita/day),2769,"Aquatic Animals, Others",2007,2007,kcal/capita/day,0,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,5803,Small Island Developing States,664,Food supply (kcal/capita/day),2769,"Aquatic Animals, Others",2008,2008,kcal/capita/day,0,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,5803,Small Island Developing States,664,Food supply (kcal/capita/day),2769,"Aquatic Animals, Others",2009,2009,kcal/capita/day,0,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,5803,Small Island Developing States,664,Food supply (kcal/capita/day),2769,"Aquatic Animals, Others",2010,2010,kcal/capita/day,0,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,5803,Small Island Developing States,664,Food supply (kcal/capita/day),2769,"Aquatic Animals, Others",2011,2011,kcal/capita/day,0,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,5803,Small Island Developing States,664,Food supply (kcal/capita/day),2769,"Aquatic Animals, Others",2012,2012,kcal/capita/day,0,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,5803,Small Island Developing States,664,Food supply (kcal/capita/day),2769,"Aquatic Animals, Others",2013,2013,kcal/capita/day,0,Fc,Calculated data
