country,Direct _GDP,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Bahamas,Local currency in bn (Nominal prices),1.11618,1.14257,1.18459,1.14307,1.3174,1.42237,1.38569,1.4625,1.4599,1.58543,1.76972,1.84728,1.97234,1.95185,1.85705,1.96255,1.94675,2.08532,2.06072,2.10918,2.28381,2.29594,2.2927,2.47871,2.5571,2.67423,2.76381,2.85135,2.96344,3.08355,3.21326,3.34904,3.45407,3.54357,3.63301
Bahamas,Local currency in bn (Real prices),2.90039,2.94004,1.77307,1.66029,1.82324,1.95053,1.89354,1.92235,1.89704,2.03583,2.1631,2.23935,2.3225,2.26465,2.17723,2.31,2.31123,2.3974,2.38004,2.3592,2.39845,2.36114,2.32813,2.47871,2.51857,2.59629,2.64751,2.69632,2.76642,2.84174,2.92348,3.00819,3.06308,3.10255,3.14055
Bahamas,Percentage growth,2.01717,1.3671,-39.6925,-6.3607,9.81467,6.98162,-2.92177,1.52156,-1.31673,7.31597,6.25174,3.52501,3.71297,-2.49072,-3.86031,6.09809,0.05,3.7285,-0.724503,-0.875488,1.6639,-1.55566,-1.39824,6.46815,1.60783,3.08591,1.97301,1.84335,2.60007,2.72244,2.87654,2.89763,1.8245,1.28873,1.22475
Bahamas,Percentage of GDP,32.5511,31.6589,18.7069,16.7281,17.145,17.6113,16.6593,16.4674,16.4587,17.5083,17.992,18.1689,18.5748,18.5431,18.604,19.4394,19.3313,19.4517,19.3903,19.249,19.367,19.3933,18.8512,19.6253,19.5229,19.7288,19.7429,19.7513,19.9261,20.1463,20.4195,20.7211,20.8284,20.8287,20.8235
Bahamas,US$ in bn (Nominal prices),1.11618,1.14257,1.18459,1.14307,1.3174,1.42237,1.38569,1.4625,1.4599,1.58543,1.76972,1.84728,1.97234,1.95185,1.85705,1.96255,1.94675,2.08532,2.06072,2.10918,2.28381,2.29594,2.2927,2.47871,2.5571,2.67423,2.76381,2.85135,2.96344,3.08355,3.21326,3.34904,3.45407,3.54357,3.63301
Bahamas,US$ billion (real prices),2.90039,2.94004,1.77307,1.66029,1.82324,1.95053,1.89354,1.92235,1.89704,2.03583,2.1631,2.23935,2.3225,2.26465,2.17723,2.31,2.31123,2.3974,2.38004,2.3592,2.39845,2.36114,2.32813,2.47871,2.51857,2.59629,2.64751,2.69632,2.76642,2.84174,2.92348,3.00819,3.06308,3.10255,3.14055
Barbados,Local currency in bn (Nominal prices),0.595478,0.616752,0.614397,0.666924,0.645401,0.679604,0.66057,0.628508,0.712613,0.734647,1.00682,1.16414,1.15686,1.18195,1.07608,1.01611,0.950601,0.88674,0.930414,0.857146,0.907768,0.990936,1.00781,1.02802,1.08543,1.15105,1.20087,1.24593,1.2961,1.35163,1.40996,1.47783,1.54749,1.61566,1.68823
Barbados,Local currency in bn (Real prices),0.912993,0.922312,0.910117,0.908589,0.842449,0.880635,0.835014,0.78668,0.880552,0.857757,1.10243,1.32643,1.1735,1.17393,1.09568,1.03338,0.948489,0.878307,0.937202,0.871635,0.921009,1.00238,1.01421,1.02802,1.07812,1.13533,1.17624,1.21191,1.25197,1.29657,1.34318,1.39813,1.45395,1.50757,1.56447
Barbados,Percentage growth,1.4817,1.02073,-1.32221,-0.167915,-7.2794,4.53275,-5.18058,-5.7883,11.9326,-2.58869,28.5252,20.3184,-11.5296,0.04,-6.66498,-5.68597,-8.21519,-7.3994,6.70551,-6.99597,5.66443,8.83526,1.17967,1.36159,4.87411,5.30647,3.60341,3.03198,3.30558,3.56257,3.59488,4.09075,3.9931,3.68729,3.77422
Barbados,Percentage of GDP,13.0889,12.7139,11.9826,11.5357,10.6533,10.8859,10.5974,9.91462,10.8801,10.4521,12.9169,14.7033,12.7781,12.7318,12.3784,11.6396,10.5986,9.78504,10.4516,9.71072,10.1693,10.8827,10.9042,11.0828,11.6156,12.1453,12.4703,12.7289,13.0227,13.3518,13.6886,14.0961,14.497,14.8603,15.2401
Barbados,US$ in bn (Nominal prices),0.297739,0.308376,0.307198,0.333462,0.3227,0.339802,0.330285,0.314254,0.356307,0.367324,0.503411,0.582068,0.578432,0.590973,0.538039,0.508053,0.475301,0.44337,0.465207,0.428573,0.453884,0.495468,0.503907,0.514008,0.542717,0.575524,0.600436,0.622966,0.648049,0.675813,0.704978,0.738914,0.773747,0.807832,0.844116
Barbados,US$ billion (real prices),0.456497,0.461156,0.455059,0.454295,0.421225,0.440318,0.417507,0.39334,0.440276,0.428878,0.551217,0.663215,0.586749,0.586963,0.547842,0.516692,0.474245,0.439153,0.468601,0.435818,0.460504,0.501191,0.507103,0.514008,0.539061,0.567667,0.588122,0.605954,0.625984,0.648285,0.67159,0.699063,0.726977,0.753783,0.782233
Cayman Islands,Local currency in bn (Nominal prices),0.156671,0.146671,0.206234,0.220518,0.215148,0.224653,0.235803,0.245728,0.207099,0.20585,0.143097,0.17015,0.168189,0.167034,0.155216,0.167017,0.177309,0.205662,0.213332,0.222376,0.231932,0.239625,0.25901,0.284031,0.302541,0.324476,0.34536,0.366129,0.389851,0.417089,0.447418,0.478246,0.507366,0.536408,0.56616
Cayman Islands,Local currency in bn (Real prices),0.260343,0.235849,0.321243,0.34106,0.317306,0.320119,0.329355,0.334765,0.277506,0.264205,0.171154,0.201904,0.193204,0.189485,0.173712,0.185741,0.194614,0.223264,0.228307,0.234024,0.243599,0.248817,0.26419,0.284031,0.296608,0.311876,0.32544,0.338247,0.3531,0.370363,0.389504,0.408178,0.424541,0.440041,0.455341
Cayman Islands,Percentage growth,12.7334,-9.40834,36.2067,6.16887,-6.96477,0.886742,2.88506,1.6427,-17.1044,-4.79291,-35.2191,17.9663,-4.30916,-1.92499,-8.32426,6.92476,4.77694,14.7218,2.25874,2.50411,4.09128,2.14191,6.17879,7.50996,4.42818,5.14735,4.34926,3.93515,4.39133,4.88887,5.16827,4.79425,4.00871,3.65101,3.47703
Cayman Islands,Percentage of GDP,14.503,12.5138,16.1564,13.1665,11.8484,11.8376,12.1117,12.1019,9.83523,9.28049,5.64533,6.36666,5.90554,5.81263,5.74225,6.31127,6.53635,7.40752,7.47916,7.47261,7.57571,7.60195,7.87918,8.21337,8.40474,8.69408,8.89614,9.08431,9.33722,9.64625,9.99204,10.3134,10.5654,10.7862,10.9932
Cayman Islands,US$ in bn (Nominal prices),0.188006,0.176005,0.247481,0.264621,0.258177,0.269584,0.282964,0.294874,0.248519,0.24702,0.171717,0.20418,0.201826,0.200441,0.186259,0.200421,0.212771,0.246794,0.255998,0.266852,0.278319,0.28755,0.310813,0.340837,0.363049,0.389371,0.414432,0.439355,0.467822,0.500507,0.536902,0.573895,0.608839,0.643689,0.679392
Cayman Islands,US$ billion (real prices),0.312412,0.283019,0.385491,0.409272,0.380767,0.384143,0.395226,0.401719,0.333007,0.317046,0.205385,0.242285,0.231845,0.227382,0.208454,0.222889,0.233536,0.267917,0.273969,0.280829,0.292319,0.29858,0.317029,0.340837,0.35593,0.374251,0.390528,0.405896,0.423721,0.444436,0.467405,0.489814,0.509449,0.528049,0.54641
