country,Total_GDP,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Aruba,Percentage of GDP,42.534,61.0331,63.4356,64.0026,59.8424,60.8944,57.101,57.0729,55.8919,57.4744,59.7795,60.165,62.6309,64.5825,70.8553,78.9348,71.9716,81.9893,85.1788,88.7741,88.4933,91.887,94.1715,98.2981,98.0412,99.76,99.6755,99.0835,98.7131,98.455,98.1824,98.2466,98.2609,98.3594,98.5832
Aruba,US$ in bn (Nominal prices),0.561734,0.842189,0.971734,1.06588,1.03096,1.14083,1.09649,1.10784,1.12975,1.28069,1.39346,1.45875,1.63785,1.77295,1.77059,1.88694,1.83507,2.07813,2.19895,2.35227,2.38289,2.45066,2.54315,2.74044,2.83396,2.99399,3.13052,3.26443,3.41575,3.57821,3.74797,3.93863,4.13517,4.34347,4.56618
Aruba,US$ in bn (Real prices),0.957386,1.39088,1.5586,1.67737,1.58644,1.6872,1.53517,1.48396,1.48234,1.64493,1.73164,1.7612,1.87064,1.9316,1.8792,2.02304,1.90999,2.14603,2.32312,2.44172,2.42302,2.51063,2.59401,2.74044,2.76484,2.83589,2.87885,2.91456,2.96083,3.01133,3.06232,3.12438,3.18475,3.24775,3.31484
Bahamas,Local currency in bn (Nominal prices),2.1534,2.28536,2.60719,2.48866,2.70636,2.7962,2.73101,2.91181,2.93095,3.25139,3.58435,3.70137,3.81574,3.78574,3.64444,3.94292,3.90909,4.19098,4.14714,4.29931,4.62678,4.64774,4.72697,5.09765,5.2727,5.5101,5.70393,5.89198,6.12468,6.36878,6.63572,6.92798,7.1688,7.38456,7.59609
Bahamas,Local currency in bn (Real prices),5.59563,5.88064,3.90238,3.61475,3.74551,3.83449,3.7319,3.82737,3.80856,4.17507,4.38108,4.48697,4.49318,4.39244,4.27279,4.64095,4.64098,4.81821,4.78974,4.80895,4.85904,4.77974,4.80001,5.09765,5.19325,5.3495,5.46391,5.57163,5.71749,5.86934,6.03729,6.22289,6.35731,6.46551,6.56644
Bahamas,Percentage growth,6.31171,5.09343,-33.6402,-7.37062,3.61752,2.37569,-2.67542,2.55815,-0.491631,9.62349,4.9342,2.41702,0.138298,-2.24189,-2.72414,8.61655,0,3.81883,-0.590828,0.401115,1.04148,-1.63195,0.424026,6.20092,1.87534,3.00878,2.13873,1.97133,2.61796,2.65588,2.86155,3.07414,2.16017,1.70186,1.56106
Bahamas,Percentage of GDP,62.7996,63.3238,41.1725,36.42,35.2213,34.6215,32.8331,32.7863,33.0431,35.906,36.4404,36.4049,35.9354,35.9656,36.5102,39.0552,38.8175,39.0932,39.0223,39.2369,39.2356,39.2586,38.8664,40.3608,40.2559,40.65,40.7453,40.8139,41.1822,41.6102,42.1684,42.8646,43.2286,43.4057,43.539
Bahamas,US$ in bn (Nominal prices),2.1534,2.28536,2.60719,2.48866,2.70636,2.7962,2.73101,2.91181,2.93095,3.25139,3.58435,3.70137,3.81574,3.78574,3.64444,3.94292,3.90909,4.19098,4.14714,4.29931,4.62678,4.64774,4.72697,5.09765,5.2727,5.5101,5.70393,5.89198,6.12468,6.36878,6.63572,6.92798,7.1688,7.38456,7.59609
Bahamas,US$ in bn (Real prices),5.59563,5.88064,3.90238,3.61475,3.74551,3.83449,3.7319,3.82737,3.80856,4.17507,4.38108,4.48697,4.49318,4.39244,4.27279,4.64095,4.64098,4.81821,4.78974,4.80895,4.85904,4.77974,4.80001,5.09765,5.19325,5.3495,5.46391,5.57163,5.71749,5.86934,6.03729,6.22289,6.35731,6.46551,6.56644
Barbados,Local currency in bn (Nominal prices),1.68953,1.97661,2.04846,2.17734,2.08597,2.14528,2.10732,2.08704,2.37823,2.4405,3.18573,3.63237,3.70749,3.83525,3.57214,3.31083,3.18887,2.91753,3.02481,2.79985,2.91022,3.13488,3.17708,3.23342,3.38658,3.56462,3.70084,3.82724,3.96758,4.12067,4.27407,4.45421,4.64038,4.82801,5.01966
